district,iec_district_id,iec_prov_id,map_accuracy,pc_code,pc_location,pc_name,province,ps_female,ps_male,ps_total,verification,lon,lat,closed
"Rashidan",09,11,"قریه",1109090,"Gul Jeena","Hassan Khan Mosque","Ghazni",2,0,2,"Village",68.233004,33.687320,1
"Rashidan",09,11,"تعمیر",1109091,"Hassan Khan Village","Hassan Khan Village Mosque","Ghazni",1,2,3,"Building",68.211268,33.708398,1
"Chaparhar",04,06,"تعمیر",0604127,"Chaghara","Saparay Secondary School","Nangarhar",1,1,2,"Building",70.366176,34.236697,1
"Tagab",17,17,"تعمیر",1717172,"Koree","Koree School","Badakhshan",1,1,2,"Building",70.319172,36.563949,1
"Pachir Wagam",11,06,"تعمیر",0611308,"Koz Sabr","Koz Sabr Chardewali","Nangarhar",3,0,3,"Building",70.297045,34.239210,1
"Azra",07,05,"تعمیر",0507074,"Mangal","Mangal School","Logar",3,3,6,"Building",69.722713,34.154627,1
"Azra",07,05,"قریه",0507082,"Wacha Morgha Village","Wacha Morgha School","Logar",1,2,3,"Village",69.641897,34.084631,1
"Khugyani",08,06,"قریه",0608296,"Nokar Khel","Nokar Khel School","Nangarhar",1,2,3,"Village",70.054183,34.263060,1
"Khugyani",08,06,"تعمیر",0608297,"Tatang","Tatang School","Nangarhar",0,3,3,"Building",70.049328,34.350518,1
"Bati Kot",09,06,"تعمیر",0609444,"Garbawa","Garbawa Mosque","Nangarhar",1,2,3,"Building",70.837125,34.266796,1
"Deh Bala",10,06,"قریه",0610318,"Marez Village","Marez Boys High School","Nangarhar",0,2,2,"Village",70.445068,34.151376,1
"Deh Bala",10,06,"قریه",0610319,"Marez Village","Marez Girls High School","Nangarhar",2,0,2,"Village",70.440283,34.146087,1
"Deh Bala",10,06,"قریه",0610328,"Kazoona","Primary School","Nangarhar",1,1,2,"Village",70.465865,34.055964,1
"Deh Bala",10,06,"قریه",0610336,"Gorgoray","Shabay High School","Nangarhar",2,0,2,"Village",70.396165,34.105290,1
"Pachir Wagam",11,06,"قریه",0611304,"Markhanay","Markhanay Mosque","Nangarhar",1,2,3,"Village",70.236314,34.083544,1
"Pachir Wagam",11,06,"قریه",0611305,"Khaarki","Khaarki Maidan","Nangarhar",1,2,3,"Village",70.297040,34.227093,1
"Pachir Wagam",11,06,"قریه",0611312,"Landi Pacheer","Mula Sahib Mosque","Nangarhar",0,2,2,"Village",70.288476,34.136748,1
"Pachir Wagam",11,06,"قریه",0611313,"Landi Pacheer","Open Space","Nangarhar",2,0,2,"Village",70.290060,34.136950,1
"Achin",15,06,"قریه",0615353,"Shokany","Moman Clinic","Nangarhar",0,2,2,"Village",70.576613,34.039510,1
"Achin",15,06,"قریه",0615377,"Landi Momand","Mosque","Nangarhar",2,0,2,"Village",70.710001,34.120492,1
"Achin",15,06,"قریه",0615378,"Morgai Village","Morgai Mosque","Nangarhar",0,2,2,"Village",70.606112,34.053612,1
"Achin",15,06,"تعمیر",0615389,"Shaadal","Achin High School","Nangarhar",0,2,2,"Building",70.662963,34.088341,1
"Achin",15,06,"تعمیر",0615390,"Trelay","Trelay Primary School","Nangarhar",3,0,3,"Building",70.663516,34.082438,1
"Sher Zad",19,06,"قریه",0619241,"Barashpaan","Village Dera","Nangarhar",2,0,2,"Village",69.904400,34.278169,1
"Sher Zad",19,06,"قریه",0619242,"Barashpaan","Girls School","Nangarhar",0,3,3,"Village",69.905769,34.272708,1
"Nazyan",20,06,"قریه",0620393,"Abdaal Khola","Abdaal Khola Mosque","Nangarhar",1,1,2,"Village",70.844381,34.013179,1
"Nazyan",20,06,"قریه",0620395,"Nakhtar Naaw","Omar Farooq Mosque","Nangarhar",1,2,3,"Village",70.867748,34.001298,1
"Nazyan",20,06,"قریه",0620405,"Speen Zay","Askar Mosque","Nangarhar",1,1,2,"Village",70.830686,34.010422,1
"Hesarak",21,06,"قریه",0621253,"Mohammadi School","Mohammadi School","Nangarhar",0,3,3,"Village",69.763875,34.329948,1
"Surkh Rud",03,06,"قریه",0603100,"Koshkak","Girls High School","Nangarhar",1,3,4,"Village",70.268568,34.397198,1
"Khugyani",08,06,"قریه",0608292,"Khwaza Khel","Kambo Primary School","Nangarhar",1,2,3,"Village",70.187716,34.195100,1
"Achin",15,06,"قریه",0615358,"Khaas Acheen","Soor Daag Acheen Mosque","Nangarhar",0,2,2,"Village",70.672689,34.081931,1
"Achin",15,06,"قریه",0615359,"Khaas Acheen","Aliaka Khel  Mosque","Nangarhar",2,0,2,"Village",70.676425,34.082521,1
"Achin",15,06,"قریه",0615370,"Pekha","Khowar Akhonzadagan Jaame Mosque","Nangarhar",1,2,3,"Village",70.750341,34.137781,1
"Sher Zad",19,06,"قریه",0619245,"Kodi Khel","Mulayano Mosque","Nangarhar",0,3,3,"Village",70.003455,34.262518,1
"Sher Zad",19,06,"قریه",0619246,"Muli Khel","Muli Khel Mosque","Nangarhar",3,0,3,"Village",69.965855,34.235453,1
"Hesarak",21,06,"قریه",0621264,"Farzeena","Farzeena Mosque","Nangarhar",0,3,3,"Village",69.857222,34.301391,1
"Azra",07,05,"قریه",0507080,"Maroof Khel Village","Maroof Khel School","Logar",2,3,5,"Village",69.751545,34.197762,1
"Deh Bala",10,06,"تعمیر",0610333,"Morgay","Morgay Secondary School","Nangarhar",1,2,3,"Building",70.460297,34.119421,1
"Deh Bala",10,06,"تعمیر",0610334,"Papeen","Papeen High School","Nangarhar",1,2,3,"Building",70.428247,34.110160,1
"Kot",13,06,"قریه",0613341,"Saypay Village","Saypay Village Mosque","Nangarhar",0,3,3,"Village",70.577782,34.139983,1
"Hesarak",21,06,"قریه",0621259,"Lajigarh","Lajigarh Mosque","Nangarhar",0,3,3,"Village",69.838165,34.274680,1
"Hesarak",21,06,"قریه",0621260,"Lajigarh","Lajigarh School","Nangarhar",2,0,2,"Village",69.837207,34.274244,1
"Hesarak",21,06,"قریه",0621268,"Bar Shekhaan","Jami Mosque","Nangarhar",0,2,2,"Village",69.877997,34.240460,1
"Hesarak",21,06,"قریه",0621269,"Jokaan","Jokan School","Nangarhar",0,2,2,"Village",69.865283,34.260030,1
"Hesarak",21,06,"قریه",0621272,"Ali Sher Village","Open Space","Nangarhar",2,0,2,"Village",69.711588,34.270776,1
"Hesarak",21,06,"قریه",0621273,"Dawaab","Dawaab School","Nangarhar",1,1,2,"Village",69.717522,34.304654,1
"Alingar",04,07,"تعمیر",0704059,"Salab","Salab Sufla School","Laghman",1,1,2,"Building",70.296362,34.848843,1
"Alingar",04,07,"تعمیر",0704060,"Salab","Salab Sufla Sahibzadagan Mosque","Laghman",1,2,3,"Building",70.296447,34.849123,1
"Dawlat Shah",05,07,"تعمیر",0705125,"New Balady","New Balady School","Laghman",1,1,2,"Building",70.082411,35.010833,1
"Alishing",03,07,"قریه",0703098,"Salab Ulya School","Salab School","Laghman",1,2,3,"Village",70.069137,34.763195,1
"Alishing",03,07,"تعمیر",0703099,"Domya Village","Domya Village Mosque","Laghman",1,1,2,"Building",70.042568,34.793708,1
"Alishing",03,07,"تعمیر",0703102,"Noram Payan","Noram Payan Village Mosque","Laghman",1,1,2,"Building",70.097090,34.811350,1
"Alishing",03,07,"تعمیر",0703103,"Masmod","Masmod Village Mosque","Laghman",1,2,3,"Building",70.144556,34.848304,1
"Alingar",04,07,"قریه",0704083,"Taki Village","Tag School","Laghman",1,1,2,"Village",70.305816,34.895443,1
"Alishing",03,07,"قریه",0703094,"Alishang","Parmawal Village Mosque","Laghman",1,2,3,"Village",70.106747,34.783045,1
"Wali Mohammad Shahid",02,11,"قریه",1102099,"Mado Khel Village","Mado Khel Mosque","Ghazni",0,2,2,"Village",68.313323,33.544172,1
