PC_number,PS_total_final,Eng- Qutbuddin Hilal,Dr.Abdullah Abdullah,Zalmai Rassoul,Abdul Rahim Wardak,Quayum Karzai,Prof-Abdo Rabe Rasool Sayyaf,Dr.Mohammad Ashraf Ghani Ahmadzai,Mohammad Daoud Sultanzoy,Mohd. Shafiq Gul Agha Sherzai,Mohammad Nadir Naeem,Hedayat Amin Arsala,Total
0101001,5,7,160,56,0,0,10,97,2,10,1,1,344
0101002,5,13,640,114,2,8,55,315,4,4,4,7,1166
0101003,3,4,355,62,2,0,20,382,2,5,1,4,837
0101004,5,12,669,94,2,0,43,164,5,2,0,1,992
0101005,4,6,269,36,1,6,37,177,0,4,0,1,537
0101006,5,6,338,83,0,3,33,229,7,2,0,2,703
0101007,5,3,199,22,0,1,20,72,2,1,0,0,320
0101008,6,10,732,118,3,2,55,717,1,9,2,0,1649
0101009,4,1,219,45,1,0,7,77,1,2,0,1,354
0101010,5,11,490,63,1,2,50,226,1,2,0,2,848
0101011,3,4,233,70,1,1,7,103,1,6,0,1,427
0101012,2,1,212,15,0,0,5,128,1,7,0,0,369
0101013,5,2,912,258,1,3,4,245,10,23,6,10,1474
0101014,2,3,411,11,0,0,11,38,2,1,0,0,477
0101015,3,11,161,29,0,0,27,71,3,2,0,0,304
0101016,5,7,326,47,0,3,15,137,5,2,1,3,546
0101017,3,3,826,233,4,5,10,159,13,21,5,6,1285
0101018,3,5,272,41,1,1,28,76,5,2,0,2,433
0101019,4,14,594,56,0,0,38,161,15,13,2,1,894
0101020,2,5,231,24,0,1,23,59,3,0,0,1,347
0101021,7,14,433,69,2,3,47,314,4,5,0,0,891
0101022,7,7,369,68,1,1,32,105,2,0,1,0,586
0101023,4,6,322,46,2,2,27,107,3,1,0,2,518
0101024,5,8,927,84,1,1,40,220,6,2,0,3,1292
0101025,7,14,1927,154,0,1,94,453,14,3,1,0,2661
0101026,2,1,539,24,0,0,16,57,2,0,0,1,640
0101027,2,14,571,45,0,0,29,161,4,0,0,1,825
0101028,7,5,696,172,0,1,88,445,3,3,0,2,1415
0101029,5,2,152,41,0,1,6,105,2,7,0,0,316
0101030,3,0,1160,52,0,0,22,111,1,2,0,0,1348
0101031,1,1,70,5,0,0,17,28,1,0,0,0,122
0101032,5,30,909,246,2,1,130,628,4,18,2,2,1972
0101033,6,47,1214,292,0,0,157,784,11,19,1,4,2529
0101034,7,6,834,227,0,0,38,417,8,6,3,5,1544
0101035,8,29,962,275,0,7,86,507,9,13,2,4,1894
0101036,7,11,1429,302,1,3,64,501,21,16,1,4,2353
0101037,5,16,385,49,0,2,50,354,2,2,2,1,863
0101038,5,13,1427,301,0,2,49,318,11,22,1,2,2146
0101039,5,21,990,118,3,1,111,635,8,7,2,7,1903
0101040,5,19,481,109,1,1,92,423,5,8,4,3,1146
0101041,5,5,352,50,0,1,14,181,7,2,0,0,612
0101042,2,23,355,83,0,0,52,310,5,4,0,0,832
0101043,3,10,314,84,0,1,31,221,4,1,1,0,667
0101044,5,12,581,113,2,1,113,468,4,13,4,2,1313
0101045,5,14,726,136,0,2,55,434,10,8,0,3,1388
0101046,6,5,391,77,0,2,20,98,2,4,0,9,608
0101047,5,16,560,202,0,1,34,438,4,6,2,0,1263
0101048,5,3,802,135,2,1,86,338,8,5,0,2,1382
0101049,6,4,590,127,0,1,77,389,4,0,0,0,1192
0101050,8,16,1052,227,3,6,68,1435,12,0,6,2,2827
0101051,6,6,519,231,1,7,31,2058,9,5,4,3,2874
0101052,4,10,460,74,0,0,38,397,9,0,0,0,988
0101053,8,8,536,120,1,7,35,888,11,14,3,5,1628
0101054,7,10,1065,124,0,1,55,483,7,4,2,1,1752
0101055,6,5,582,39,0,1,36,113,0,2,0,0,778
0101056,5,1,339,55,0,0,21,113,2,1,0,1,533
0101057,7,11,755,98,0,0,81,295,9,2,0,0,1251
0101058,7,12,849,121,1,0,79,361,4,5,0,0,1432
0101059,6,8,599,137,0,1,35,247,14,5,2,0,1048
0101060,8,41,1487,120,0,0,109,418,9,4,1,2,2191
0101061,4,3,447,109,0,1,29,636,6,0,0,0,1231
0101062,8,15,1328,320,2,2,50,1277,11,6,1,3,3015
0101063,7,5,1153,70,0,1,37,258,3,8,2,2,1539
0101064,7,33,1075,100,1,2,88,872,4,11,2,2,2190
0101065,7,14,840,162,0,2,43,309,9,11,1,2,1393
0101066,5,20,1044,149,0,2,64,331,3,3,1,0,1617
0101067,4,17,336,75,3,0,35,179,2,44,0,0,691
0101068,4,10,451,277,0,0,39,365,6,4,0,2,1154
0101069,3,5,240,88,2,1,24,131,1,2,0,2,496
0101070,6,58,985,122,0,1,500,753,9,24,0,4,2456
0101071,3,3,1098,213,3,0,26,224,17,5,0,5,1594
0101072,2,7,734,131,0,0,36,224,2,6,1,2,1143
0101073,6,75,645,111,0,1,551,887,12,20,0,3,2305
0101074,7,40,1061,163,2,0,193,1604,5,4,0,2,3074
0101075,4,24,657,99,0,0,131,419,10,7,2,1,1350
0101076,3,55,298,86,0,2,209,716,4,6,2,3,1381
0101077,6,24,929,214,2,0,88,577,8,9,0,3,1854
0101078,5,56,385,104,2,2,413,464,4,9,5,3,1447
0101079,3,50,252,120,0,1,446,496,6,4,1,3,1379
0101080,3,48,537,64,2,1,310,414,6,5,1,1,1389
0101081,3,10,206,50,0,1,284,455,1,7,2,1,1017
0101082,6,22,831,146,2,2,285,993,9,6,2,6,2304
0101083,3,36,523,54,0,0,455,357,2,7,0,2,1436
0101084,2,30,291,51,0,2,157,302,6,4,0,5,848
0101085,2,31,172,41,0,0,258,222,3,6,0,0,733
0101086,7,46,567,207,1,0,107,561,13,11,1,2,1516
0101087,8,13,525,156,3,1,147,551,7,6,0,0,1409
0101088,5,17,487,108,1,2,150,451,2,7,1,1,1227
0101089,7,76,625,170,0,1,357,831,7,9,3,4,2083
0101090,1,0,105,15,0,0,25,51,1,1,0,1,199
0101091,7,15,304,117,1,1,91,341,8,9,0,1,888
0101092,6,31,469,162,2,4,296,1247,1,17,2,4,2235
0101093,3,44,356,86,0,0,241,398,5,9,0,0,1139
0101094,8,45,719,189,0,0,280,894,7,15,2,4,2155
0101095,7,112,1106,290,2,5,448,676,15,10,1,4,2669
0101096,5,2,2135,464,0,1,16,251,18,17,3,5,2912
0101097,8,2,3495,525,3,3,24,310,28,63,6,11,4470
0101098,8,7,2837,486,0,1,79,286,18,20,1,11,3746
0101099,3,5,980,184,0,4,12,113,7,11,1,3,1320
0101100,12,62,3541,615,0,1,292,644,36,38,4,12,5245
0101101,5,13,1790,413,1,2,86,419,16,9,4,0,2753
0101102,3,42,1067,79,2,5,237,77,8,6,1,3,1527
0101103,6,9,2590,289,3,2,53,313,33,22,6,7,3327
0101104,8,79,714,181,0,3,399,641,6,12,1,8,2044
0101105,3,6,1137,217,0,2,24,192,10,19,0,2,1609
0101106,5,2,2350,149,1,2,6,169,17,9,4,5,2714
0101107,5,3,2486,176,3,4,5,176,9,17,1,6,2886
0101108,10,36,1433,217,1,1,205,503,18,6,1,5,2426
0101109,11,44,1017,165,0,2,118,658,6,26,2,5,2043
0101110,4,15,836,195,1,1,53,96,10,12,0,1,1220
0101111,4,9,1552,227,0,0,32,262,19,10,2,5,2118
0101112,6,23,680,83,1,2,47,149,5,6,1,1,998
0101113,6,34,1314,263,1,1,131,282,12,16,2,7,2063
0101114,5,3,1167,200,1,3,13,191,15,7,2,3,1605
0101115,5,5,1409,245,0,3,15,256,20,8,4,3,1968
0101116,5,8,893,229,0,3,10,203,10,4,3,4,1367
0101117,4,1,1107,248,1,5,3,332,20,9,3,2,1731
0101118,9,28,2100,507,0,2,18,409,33,25,4,6,3132
0101119,5,2,526,161,0,0,25,305,4,6,0,8,1037
0101120,8,27,999,281,0,1,61,729,13,5,0,3,2119
0101121,7,5,2770,380,3,4,11,749,22,15,2,1,3962
0101122,5,20,765,237,0,2,95,563,9,7,1,3,1702
0101123,5,1,1945,368,1,6,10,426,39,17,8,8,2829
0101124,6,14,1926,279,2,4,15,258,20,22,4,2,2546
0101125,8,36,486,67,0,3,56,389,6,9,0,0,1052
0101126,7,68,1263,213,1,5,197,1283,13,24,3,3,3073
0101127,7,54,533,118,0,1,81,1179,9,2,0,2,1979
0101128,8,42,970,214,1,2,129,766,14,6,2,4,2150
0101129,8,36,616,145,1,3,77,1175,7,8,0,2,2070
0101130,9,41,1263,278,0,0,108,1041,27,10,3,6,2777
0101131,6,13,1331,94,0,2,97,727,3,2,3,5,2277
0101132,7,67,1107,321,0,0,122,981,18,8,1,5,2630
0101133,3,28,507,121,0,3,87,762,14,6,2,1,1531
0101134,7,110,716,135,0,2,351,355,9,3,1,2,1684
0101135,5,44,614,138,0,1,80,664,4,7,0,2,1554
0101136,3,28,309,85,0,2,33,1199,7,3,2,3,1671
0101137,5,25,248,52,0,0,60,110,7,1,0,1,504
0101138,7,11,546,86,1,2,33,279,6,4,1,1,970
0101139,6,27,1288,79,0,0,75,452,6,9,2,5,1943
0101140,6,28,842,165,0,2,90,612,16,1,1,2,1759
0101141,4,30,745,138,2,2,87,415,7,1,1,5,1433
0101142,3,52,436,70,0,1,87,521,4,7,1,2,1181
0101143,7,45,1179,313,2,4,101,965,14,8,2,2,2635
0101144,4,52,1120,171,1,1,197,480,10,9,1,4,2046
0101145,4,21,1000,230,0,0,67,524,11,8,4,2,1867
0101146,6,51,464,82,0,2,49,912,6,5,0,1,1572
0101147,8,56,664,122,2,7,113,1610,19,7,12,7,2619
0101148,6,25,449,50,1,4,20,737,6,1,5,3,1301
0101149,5,28,329,55,0,0,98,1034,4,8,1,3,1560
0101150,6,14,683,131,0,2,64,829,9,6,3,2,1743
0101151,7,59,270,102,1,6,66,1876,11,15,5,3,2414
0101152,5,45,693,84,1,6,67,1517,5,9,3,8,2438
0101153,4,32,376,84,0,1,46,988,7,8,1,2,1545
0101154,5,40,488,102,0,0,33,1003,6,2,1,2,1677
0101155,6,92,602,126,2,5,63,1413,8,10,1,8,2330
0101156,6,19,541,80,0,0,32,614,8,1,0,2,1297
0101157,4,22,397,76,0,3,34,923,2,13,1,3,1474
0101158,5,40,299,77,0,2,41,1131,5,5,3,0,1603
0101159,5,55,679,16,0,6,56,752,6,3,1,2,1576
0101160,5,20,62,8,0,3,22,595,1,1,0,0,712
0101161,5,12,58,7,2,1,13,469,1,0,0,2,565
0101162,5,24,160,48,0,3,23,829,5,4,2,2,1100
0101163,4,35,285,35,1,0,42,441,2,4,5,0,850
0101164,5,41,924,119,0,3,8,692,8,1,1,2,1799
0101165,5,6,135,36,0,0,11,327,1,3,1,0,520
0101166,4,31,320,86,1,3,73,837,6,15,3,1,1376
0101167,4,39,303,78,0,1,26,569,4,4,2,1,1027
0101168,5,42,648,85,0,2,33,1142,9,11,3,0,1975
0101169,6,39,507,70,1,3,36,838,3,5,3,2,1507
0101170,4,28,220,54,0,1,23,815,3,7,2,1,1154
0101171,5,57,122,49,0,1,26,687,3,4,0,2,951
0101172,4,30,607,109,0,2,43,651,4,2,0,4,1452
0101173,3,45,346,31,1,0,38,554,2,3,0,1,1021
0101174,2,12,187,35,0,2,18,696,0,1,0,0,951
0101175,4,41,159,42,0,8,26,687,5,2,2,3,975
0101176,7,109,152,41,0,5,99,2558,2,10,2,3,2981
0101177,4,24,1036,103,3,1,80,391,12,5,1,0,1656
0101178,4,15,483,107,3,3,41,728,2,2,1,2,1387
0101179,4,20,441,66,0,2,67,744,5,7,2,2,1356
0101180,4,11,675,105,0,0,43,478,6,6,0,1,1325
0101181,6,8,449,124,0,0,38,640,8,5,0,5,1277
0101182,6,11,1009,339,1,0,68,1544,23,13,0,8,3016
0101183,5,11,688,205,0,1,34,980,5,13,0,1,1938
0101184,6,9,706,154,0,1,49,984,9,14,1,5,1932
0101185,7,36,718,100,0,0,75,1845,5,1,3,1,2784
0101186,4,52,806,84,1,3,99,1022,6,15,2,2,2092
0101187,3,8,726,65,0,0,43,327,5,2,0,1,1177
0101188,6,24,1112,127,1,0,76,569,18,3,0,1,1931
0101189,5,24,275,48,0,9,39,1956,2,16,0,4,2373
0101190,2,8,332,57,0,0,26,199,1,6,0,0,629
0101191,5,24,742,122,0,1,77,491,6,2,3,4,1472
0101192,2,13,339,34,1,4,28,547,3,4,1,0,974
0101193,2,6,439,85,0,3,28,591,7,2,2,1,1164
0101194,5,13,710,132,0,1,35,734,9,3,1,2,1640
0101195,2,4,456,65,0,1,31,167,3,1,0,0,728
0101196,3,9,268,150,0,12,17,1025,2,3,4,2,1492
0101197,3,3,884,209,1,1,8,465,13,9,0,2,1595
0101198,3,2,1004,301,0,5,13,405,11,9,2,1,1753
0101199,3,19,893,251,3,3,36,511,12,11,3,3,1745
0101200,2,4,402,91,0,0,12,459,3,6,0,5,982
0101201,2,5,700,246,0,0,31,154,4,4,0,0,1144
0101202,5,17,794,190,0,4,38,618,16,2,6,2,1687
0101203,3,10,663,190,2,4,29,501,13,2,0,3,1417
0101204,3,10,190,170,3,5,18,1341,7,2,3,5,1754
0101205,3,9,1009,269,5,7,41,382,9,5,1,5,1742
0101206,3,6,821,223,0,1,37,189,8,1,5,3,1294
0101207,2,3,208,144,2,4,6,604,2,1,3,2,979
0101208,3,3,835,399,1,0,10,312,15,4,1,0,1580
0101209,1,1,85,16,0,0,0,125,1,0,2,0,230
0101210,2,4,468,33,0,1,24,185,4,2,0,1,722
0101211,7,15,1018,361,0,6,52,724,13,20,2,6,2217
0101212,2,5,305,82,0,1,35,153,3,1,1,5,591
0101213,4,3,519,124,0,0,21,256,8,8,2,0,941
0101214,2,6,328,73,0,0,18,170,7,0,1,2,605
0101215,5,9,1014,296,1,3,50,935,12,4,4,2,2330
0101216,6,6,1051,342,0,0,14,351,18,11,1,8,1802
0101217,2,16,588,75,0,0,16,311,8,3,1,2,1020
0101218,3,23,508,123,0,0,60,260,3,3,1,2,983
0101219,5,9,463,84,1,4,40,785,6,9,0,1,1402
0101220,3,1,230,35,0,2,6,137,9,0,0,0,420
0101221,4,0,378,149,0,0,13,350,7,2,2,1,902
0101222,5,10,454,97,1,2,49,309,7,4,2,1,936
0101223,5,5,580,104,0,3,53,400,12,3,1,1,1162
0101224,4,7,376,101,1,2,39,286,13,2,1,20,848
0101225,3,4,919,278,0,0,10,236,13,4,2,1,1467
0101226,5,6,565,393,1,1,77,422,5,25,1,8,1504
0101227,3,19,865,128,1,7,61,545,7,14,3,3,1653
0101228,3,8,537,130,0,3,50,448,3,14,1,1,1195
0101229,5,16,1457,92,0,1,106,142,7,2,1,2,1826
0101230,6,30,1670,100,0,4,127,264,10,0,2,4,2211
0101231,3,4,718,55,0,1,49,273,2,0,0,0,1102
0101232,6,8,1717,156,0,2,105,457,7,3,1,1,2457
0101233,5,11,1522,200,1,1,121,553,16,10,0,2,2437
0101234,5,19,1840,149,0,2,114,358,4,1,1,0,2488
0101235,4,12,890,86,1,2,58,235,3,2,1,3,1293
0101236,7,22,1365,247,0,4,83,513,3,3,1,1,2242
0101237,7,10,1302,145,0,0,63,415,13,1,1,1,1951
0101238,4,7,477,27,1,1,19,168,5,2,0,0,707
0101239,6,21,2116,160,1,2,111,543,8,2,0,2,2966
0101240,6,11,1472,45,0,0,87,98,6,3,1,0,1723
0101241,10,56,3941,252,1,6,192,794,20,2,2,7,5273
0101242,6,20,2634,93,0,1,150,239,13,5,1,1,3157
0101243,5,21,1699,179,0,1,106,428,7,0,0,1,2442
0101244,7,10,932,176,0,0,93,376,4,2,2,1,1596
0101245,6,10,1259,146,1,1,79,195,4,3,1,1,1700
0101246,5,34,1323,124,1,1,107,357,11,5,0,0,1963
0101247,6,20,2008,198,0,0,116,690,31,6,1,1,3071
0101248,3,15,832,104,0,1,77,643,4,13,0,2,1691
0101249,7,43,130,35,0,6,28,1515,1,3,0,2,1763
0101250,9,55,589,124,3,4,77,2016,7,6,4,0,2885
0101251,6,58,595,124,1,2,54,1981,5,5,2,8,2835
0101252,6,36,268,47,0,0,29,1601,5,1,1,2,1990
0101253,6,46,284,68,0,0,73,1905,9,4,1,18,2408
0101254,6,36,343,54,0,0,39,1516,4,4,2,1,1999
0101255,4,22,90,30,0,0,22,473,1,2,1,2,643
0101256,5,0,1449,417,0,0,6,135,19,15,3,2,2046
0101257,2,0,1013,111,1,1,0,47,3,3,1,3,1183
0101258,10,0,4609,699,2,4,11,388,42,44,7,18,5824
0101259,3,0,1392,197,2,3,1,123,4,13,1,5,1741
0101260,3,12,1247,203,0,0,27,126,13,8,1,3,1640
0101261,3,3,1291,236,0,0,10,168,9,8,1,5,1731
0101262,3,0,1272,118,0,3,5,64,7,5,0,1,1475
0101263,8,2,3389,668,5,4,11,398,30,39,8,11,4565
0101264,2,0,913,137,0,4,2,105,9,5,1,3,1179
0101265,4,2,1290,206,2,8,3,100,9,17,1,5,1643
0101266,3,2,1382,185,1,1,10,81,14,6,1,1,1684
0101267,4,0,1577,161,0,1,5,122,18,9,3,2,1898
0101268,5,2,2450,176,1,4,4,140,19,15,4,4,2819
0101269,4,1,1710,322,1,1,10,223,24,16,6,9,2323
0101270,3,1,1145,180,0,0,11,80,5,14,1,3,1440
0101271,4,0,1352,223,3,4,15,234,10,6,2,3,1852
0101272,4,1,1472,122,3,2,5,62,11,68,3,9,1758
0101273,11,3,4085,799,3,4,7,294,32,26,12,4,5269
0101274,3,1,1036,130,0,4,2,66,5,11,4,4,1263
0101275,5,0,2002,334,1,2,6,148,20,15,5,3,2536
0101276,3,1,1380,223,0,1,29,111,3,11,0,12,1771
0101277,6,4,2268,159,4,6,10,132,9,16,3,6,2617
0101278,7,6,3236,343,4,11,13,222,38,28,12,15,3928
0101279,7,21,2879,303,0,4,198,200,8,72,1,7,3693
0101280,4,5,1741,375,0,0,4,135,10,32,0,7,2309
0101281,4,6,1611,154,4,1,10,85,8,14,3,4,1900
0101282,4,2,1517,310,1,0,31,140,11,9,4,5,2030
0101283,5,1,2035,128,2,1,3,111,7,4,3,8,2303
0101284,2,2,941,138,1,1,2,53,7,16,1,4,1166
0101285,4,2,1266,138,0,1,48,191,15,16,0,7,1684
0101286,4,20,276,11,0,0,927,38,1,1,0,2,1276
0101287,4,6,119,14,0,0,544,30,0,5,1,0,719
0101288,5,6,185,20,0,1,602,45,0,2,0,0,861
0101289,7,36,2266,85,0,0,92,486,15,3,0,1,2984
0101290,5,50,1192,88,1,2,95,542,7,3,0,1,1981
0101291,6,12,696,168,1,0,62,331,22,6,1,3,1302
0101292,5,7,1226,255,0,5,74,467,14,0,2,3,2053
0101293,8,13,1480,132,0,3,75,544,13,2,1,1,2264
0101294,8,26,1953,234,0,2,99,691,21,8,0,3,3037
0101295,6,20,1219,111,0,0,106,461,7,2,0,3,1929
0101296,8,6,989,163,0,2,51,269,13,5,2,2,1502
0101297,6,2,633,27,0,0,37,125,4,1,2,0,831
0101298,7,12,834,89,2,0,49,285,7,4,1,3,1286
0101299,4,3,417,21,1,0,25,74,3,0,0,0,544
0101300,4,2,480,19,0,0,45,40,4,2,1,0,593
0101301,5,11,1137,302,1,2,80,508,12,8,5,2,2068
0101302,5,16,511,126,0,1,35,218,2,1,0,0,910
0101303,8,24,2005,141,0,2,104,629,16,3,5,0,2929
0101304,5,3,948,56,0,0,47,135,7,2,1,1,1200
0101305,3,8,641,40,0,0,64,70,3,6,1,0,833
0101306,6,31,1321,273,10,2,122,916,16,66,1,3,2761
0101307,4,4,767,37,0,1,58,156,5,3,0,0,1031
0101308,4,5,766,42,1,1,47,58,4,0,0,2,926
0101309,4,11,807,57,0,2,48,158,7,2,1,1,1094
0101310,3,15,854,61,0,0,38,219,2,1,0,0,1190
0101311,4,7,872,28,0,0,23,54,3,1,0,1,989
0101312,6,49,585,81,2,5,39,1451,13,13,10,9,2257
0101313,4,71,62,18,0,4,20,1251,0,3,0,0,1429
0101314,8,70,1720,350,5,13,82,1688,19,48,7,5,4007
0101315,2,4,159,14,0,1,74,334,1,2,0,2,591
0101316,5,35,693,87,0,3,36,613,7,2,0,1,1477
0101317,7,33,1024,312,2,1,73,1800,17,3,3,5,3273
0101318,4,34,668,42,1,2,50,394,2,0,0,2,1195
0101319,5,7,450,91,0,1,57,676,8,1,2,4,1297
0101320,2,4,259,30,0,0,6,91,2,1,2,0,395
0101321,2,14,197,27,0,1,11,473,0,5,0,3,731
0101322,2,50,462,51,0,1,26,411,8,32,3,0,1044
0101323,3,17,351,70,2,5,39,787,7,3,2,1,1284
0101324,2,1,115,41,0,3,38,123,0,0,1,0,322
0101325,3,46,367,67,1,0,31,1163,7,8,0,2,1692
0101326,8,51,2821,88,1,1,153,213,5,6,0,2,3341
0101328,9,44,2140,271,5,4,198,1062,22,23,3,3,3775
0101329,6,29,1311,171,3,2,71,660,7,6,3,1,2264
0101331,5,60,98,2303,0,0,65,322,100,5,0,0,2953
0101430,9,32,363,26,0,7,19,462,1,16,1,3,930
0101448,5,29,57,1285,2,4,28,467,1,2,2,1,1878
0101449,4,99,44,14,0,0,53,1910,48,61,0,100,2329
0101473,3,20,91,1054,0,0,38,517,0,31,0,1,1752
0101488,2,4,286,38,0,0,30,126,2,0,0,2,488
0101489,5,17,999,81,1,0,60,183,6,2,7,1,1357
0101490,5,14,784,232,1,1,67,665,8,4,2,2,1780
0101491,3,68,57,10,0,4,7,621,1,3,0,0,771
0101492,5,28,228,42,1,1,20,559,5,4,1,3,892
0101493,4,12,873,161,0,1,74,819,7,8,6,0,1961
0101495,3,16,1374,22,0,1,77,27,8,2,0,1,1528
0101496,3,11,948,26,0,0,85,33,3,0,2,1,1109
0101497,6,37,364,84,0,0,81,2054,7,8,1,1,2637
0101498,6,40,270,67,0,2,39,1480,2,6,4,4,1914
0101499,5,1,1967,120,2,2,4,93,17,31,2,4,2243
0101500,5,18,1698,331,1,2,79,168,12,11,4,3,2327
0101501,6,3,2285,282,2,6,8,138,12,18,5,9,2768
0101502,2,1,367,6,0,0,717,18,0,2,0,1,1112
0101503,5,9,718,53,0,0,54,217,6,5,1,1,1064
0101504,5,16,1324,24,0,0,30,44,5,0,0,1,1444
0101505,3,35,556,89,0,1,19,428,8,5,2,2,1145
0101506,2,39,302,32,1,0,25,328,5,3,0,1,736
0101507,4,7,1004,92,0,0,130,163,14,39,1,1,1451
0101508,4,19,1224,283,0,0,14,213,9,6,0,4,1772
0101509,6,70,26,10,0,0,2,1319,1,6,0,0,1434
0101510,5,10,7,232,0,0,11,192,1,6,0,0,459
0101512,5,33,477,178,3,1,59,1039,3,7,0,0,1800
0101513,4,16,71,10,0,3,9,722,1,4,1,0,837
0101514,4,45,13,371,0,0,20,286,0,2,0,0,737
0101519,3,14,414,48,0,0,23,500,4,1,0,0,1004
0101520,3,22,467,33,1,1,14,448,7,4,0,0,997
0101521,4,14,237,23,2,2,33,1023,1,6,0,0,1341
0101522,3,4,1188,39,0,0,35,84,8,2,0,1,1361
0101523,3,12,1009,26,0,2,49,62,7,2,0,0,1169
0101524,3,36,216,49,0,0,55,1375,4,2,0,0,1737
0101525,3,24,231,50,0,4,31,1283,1,5,1,1,1631
0101526,3,18,791,80,1,1,37,414,5,2,2,3,1354
0101527,3,7,515,204,2,3,23,140,6,16,5,1,922
0101528,3,3,933,60,0,1,60,143,5,5,2,2,1214
0101529,3,6,628,15,1,0,28,41,1,6,0,1,727
0101530,3,5,1120,26,0,0,43,82,4,2,1,0,1283
0101531,4,37,1376,62,1,2,158,401,6,9,6,6,2064
0101532,2,8,0,548,0,4,6,70,2,0,4,0,642
0101534,5,53,1646,83,0,1,255,382,8,5,1,1,2435
0101535,3,2,13,165,0,0,1,85,4,10,0,1,281
0101553,6,5,2622,160,3,2,5,102,21,10,7,10,2947
0101554,3,1,1495,136,2,3,9,69,9,19,3,1,1747
0101555,4,0,1714,141,1,4,7,95,6,11,2,4,1985
0101556,4,1,1662,108,1,4,6,87,10,8,3,9,1899
0101557,4,0,1735,225,0,2,19,145,10,19,4,6,2165
0102398,3,69,60,30,0,0,736,178,0,4,0,2,1079
0102399,5,27,117,14,0,0,442,73,0,3,0,1,677
0102400,5,22,195,81,4,37,1607,389,7,35,9,2,2388
0102401,3,7,93,6,0,1,1097,32,0,3,0,1,1240
0102402,5,16,283,25,1,1,966,104,4,5,0,1,1406
0102403,2,5,166,9,0,1,649,25,1,1,0,0,857
0102404,3,29,1020,96,2,0,338,162,12,7,6,4,1676
0102405,3,21,212,8,1,1,812,39,1,2,0,0,1097
0102406,3,7,262,21,0,1,767,68,4,3,0,1,1134
0102407,3,7,683,29,0,0,555,100,4,3,1,0,1382
0102408,5,40,141,34,0,0,570,384,5,41,1,3,1219
0102409,3,9,204,15,0,0,1006,57,2,6,0,0,1299
0102410,3,52,374,97,2,2,648,451,5,19,1,3,1654
0102412,3,12,27,7,0,1,1283,162,0,2,0,2,1496
0102413,3,25,161,10,0,0,1135,104,1,2,0,2,1440
0102414,5,16,18,15,0,0,502,113,0,3,0,1,668
0102415,3,39,98,15,0,0,854,68,2,4,0,1,1081
0102416,2,15,12,15,0,0,475,72,0,3,0,0,592
0102417,2,19,22,8,0,0,537,151,1,2,1,0,741
0102418,3,13,104,33,0,1,84,295,1,1,0,0,532
0103419,3,34,19,12,0,0,9,444,1,2,3,0,524
0103420,3,34,34,26,0,0,28,1071,2,2,0,1,1198
0103421,5,192,90,14,1,0,123,265,4,1,1,1,692
0103422,2,9,16,11,0,2,6,529,0,1,1,0,575
0103423,3,28,142,39,0,0,31,365,1,1,0,1,608
0103424,2,15,30,51,0,0,14,453,0,4,0,1,568
0103425,5,62,123,45,1,3,51,880,3,0,0,4,1172
0103426,2,49,32,10,0,0,20,70,0,0,0,1,182
0103427,2,40,53,19,0,0,19,166,4,2,0,3,306
0103428,2,29,64,21,0,1,21,250,0,2,0,0,388
0103429,3,100,190,22,0,0,27,92,1,1,0,1,434
0103494,4,28,709,87,0,0,70,533,5,4,1,0,1437
0103536,3,7,18,5,0,0,6,895,0,0,1,0,932
0103537,3,25,50,8,0,0,3,382,0,3,0,3,474
0104450,3,40,387,32,0,0,35,273,3,2,0,0,772
0104451,3,78,504,44,0,0,48,413,6,2,0,0,1095
0104452,4,90,461,64,0,1,190,830,1,0,1,1,1639
0104453,3,25,778,73,2,1,61,619,12,2,1,3,1577
0104454,4,14,1431,45,0,0,41,226,8,3,0,2,1770
0104455,4,30,227,54,1,5,33,1137,2,1,4,1,1495
0104456,5,65,801,150,3,9,143,1374,14,3,5,3,2570
0104457,3,59,844,30,0,1,73,301,1,1,1,1,1312
0104458,3,77,287,63,0,2,95,883,4,6,1,4,1422
0104459,4,75,266,68,2,5,257,662,2,4,1,2,1344
0104460,3,12,37,26,0,1,43,563,0,0,0,0,682
0104461,2,16,16,9,1,1,25,1108,1,2,1,1,1181
0104462,4,54,362,54,1,2,289,741,0,5,2,2,1512
0104538,3,99,119,24,0,0,363,571,1,0,0,37,1214
0104539,3,68,430,12,1,0,183,692,3,4,1,1,1395
0104540,3,57,56,50,0,3,42,1087,1,5,1,1,1303
0105330,6,99,144,51,1,1,41,1300,1,10,2,0,1650
0105463,7,19,973,70,1,8,127,116,6,0,0,1,1321
0105464,6,24,562,53,0,0,91,193,4,3,0,0,930
0105465,4,55,82,9,1,3,24,498,1,1,3,0,677
0105466,3,83,1119,50,0,0,96,175,4,1,1,1,1530
0105467,4,70,123,35,0,4,109,436,0,9,1,1,788
0105468,9,35,927,62,0,6,87,1464,2,3,1,1,2588
0105469,3,38,248,34,0,4,25,1070,1,2,0,10,1432
0105470,4,27,68,24,0,0,73,777,1,7,2,0,979
0105471,5,24,46,25,0,2,38,292,1,1,3,6,438
0105472,2,8,106,12,0,0,69,160,0,3,0,2,360
0105474,4,31,55,34,0,0,8,480,0,4,0,0,612
0105475,4,4,25,123,0,0,3,58,0,0,0,2,215
0105533,3,23,44,29,0,0,31,370,1,2,1,0,501
