PC_number,PS_total_final,Eng- Qutbuddin Hilal,Dr.Abdullah Abdullah,Zalmai Rassoul,Abdul Rahim Wardak,Quayum Karzai,Prof-Abdo Rabe Rasool Sayyaf,Dr.Mohammad Ashraf Ghani Ahmadzai,Mohammad Daoud Sultanzoy,Mohd. Shafiq Gul Agha Sherzai,Mohammad Nadir Naeem,Hedayat Amin Arsala,Total
2405085,2,0,576,154,1,1,0,23,3,1,0,3,762
2405086,2,0,569,17,0,0,0,23,3,0,0,0,612
2405087,2,1,699,282,2,1,0,72,8,3,1,1,1070
2405088,2,0,521,53,0,4,0,10,6,1,1,0,596
2405089,2,0,647,47,1,1,0,97,5,0,0,1,799
2405090,2,0,851,17,0,0,1,197,2,0,0,1,1069
2405091,2,0,900,8,1,2,0,183,5,0,0,3,1102
2405092,2,1,439,182,0,0,0,461,0,0,0,0,1083
2405093,2,0,1062,42,0,0,1,85,2,0,0,0,1192
2405094,2,5,789,17,7,3,4,49,12,0,4,9,899
2405095,2,0,798,35,0,0,0,144,2,1,3,1,984
2405096,2,1,869,227,0,0,0,63,1,1,0,0,1162
2405097,2,1,559,65,0,1,0,123,4,1,0,5,759
2405098,2,2,553,43,2,0,0,48,5,0,1,0,654
2405099,3,0,1095,16,1,0,0,456,7,1,0,3,1579
2405100,3,0,726,21,1,0,1,400,4,3,3,0,1159
2405101,3,2,618,182,0,5,2,580,3,1,2,3,1398
2405102,2,0,926,84,0,0,1,159,4,2,0,2,1178
2405103,2,0,365,4,0,1,0,6,1,0,0,0,377
2405180,3,1,350,5,0,0,0,29,11,0,0,0,396
2405181,3,0,307,24,0,0,0,13,1,2,0,0,347
2405182,3,1,714,108,1,0,0,66,4,0,0,1,895
2405183,3,0,819,100,0,0,0,26,3,7,2,3,960
2406124,3,0,858,75,0,0,0,50,3,3,0,0,989
2406125,3,6,646,46,0,3,6,51,3,2,2,5,770
2406126,3,2,1085,56,0,0,30,38,3,3,0,1,1218
2406127,3,0,526,166,0,1,0,99,5,3,6,2,808
2406128,3,0,525,107,1,1,0,174,2,0,0,1,811
2406129,3,0,816,43,1,0,15,144,2,2,1,0,1024
2406130,3,1,964,58,0,2,1,71,5,14,0,0,1116
2406131,3,0,714,175,1,3,45,282,2,6,3,1,1232
2406132,3,4,919,109,0,0,2,12,8,1,0,5,1060
2406133,3,0,587,21,3,1,1,43,5,3,0,1,665
2406134,3,2,852,98,0,0,1,47,11,3,1,0,1015
2406135,3,0,849,97,2,3,2,142,11,10,5,0,1121
2406136,3,0,1247,120,6,2,2,139,6,3,3,1,1529
2406137,3,1,611,113,2,0,1,35,4,6,1,0,774
2406138,3,3,683,308,0,0,19,45,9,2,0,2,1071
2406139,3,2,520,57,0,0,64,31,1,6,1,0,682
2406140,3,0,597,37,0,0,0,5,3,2,0,0,644
2406141,3,2,228,442,0,0,1,53,4,10,6,4,750
2406142,3,0,575,427,0,0,0,187,3,9,1,3,1205
2406143,3,1,837,177,1,0,3,43,13,1,0,2,1078
2406184,3,2,418,42,6,0,4,33,5,2,0,0,512
2406185,3,0,591,68,2,1,0,7,0,1,0,1,671
2406186,3,0,613,21,1,1,15,50,0,1,0,0,702
2406187,3,1,511,64,1,0,0,164,2,0,1,1,745
2407144,3,0,486,40,1,0,1,66,2,0,1,0,597
2407145,4,11,1294,205,0,0,5,238,18,5,0,13,1789
2407146,3,2,1508,99,2,0,0,66,16,4,0,2,1699
2407147,3,1,944,121,4,6,0,115,10,2,4,5,1212
2407148,2,0,795,163,0,0,0,18,1,0,0,4,981
2407149,3,0,1458,95,2,2,5,99,13,5,5,5,1689
2407150,3,0,927,77,3,0,6,46,7,2,6,6,1080
2407151,2,0,754,125,0,1,2,74,7,4,4,2,973
2407152,3,4,799,113,0,3,2,156,3,1,1,2,1084
2407153,2,2,823,112,1,3,0,210,7,0,2,4,1164
2407154,2,1,729,75,0,0,1,300,5,1,0,1,1113
2407155,2,2,818,148,4,3,0,198,9,0,3,1,1186
2407156,2,2,421,257,1,0,2,108,4,0,2,1,798
2407157,3,1,1062,391,0,0,0,58,3,0,0,2,1517
2407158,2,33,645,150,0,2,0,186,4,0,0,0,1020
2407159,2,1,290,230,5,0,1,156,3,1,3,3,693
2407160,2,0,220,66,0,0,0,10,1,1,0,0,298
2407161,2,0,404,95,0,2,0,125,5,0,1,1,633
2407162,2,0,413,42,0,0,0,22,4,2,0,0,483
2407163,2,2,196,214,0,0,1,129,2,2,4,2,552
2407164,2,1,699,120,0,0,0,83,1,0,0,4,908
2407165,3,0,1154,132,0,0,0,48,6,3,0,2,1345
2407166,2,1,651,44,4,2,0,8,5,0,3,0,718
2407167,2,1,240,137,0,0,0,64,1,1,0,0,444
