PC_number,pc_name,province,district,PS_total_final,PS_planned,ps_diff,ps_male,ps_female,closed,unopened,excluded,Dr_Abdullah_Abdullah,Dr_Mohammad_Ashraf_Ghani_Ahmadzai,Zalmai_Rassoul,Prof_Abdo_Rabe_Rasool_Sayyaf,Eng_Qutbuddin_Hilal,Mohd_Shafiq_Gul_Agha_Sherzai,Mohammad_Daoud_Sultanzoy,Hedayat_Amin_Arsala,Quayum_Karzai,Mohammad_Nadir_Naeem,Abdul_Rahim_Wardak,vote_total,vote_per_ps,Lat,Long
1309174,Asadullah Shop,Paktya,Jani Khel,3,3,0,3,0,0,0,0,431,496,468,149,123,4,10,8,0,6,0,1695,565,33.70519582000003,69.7450345600001
1311179,District Compound,Paktya,Dand Patan,3,3,0,3,0,0,0,0,41,1365,33,87,244,2,1,2,5,1,0,1781,593,33.82337358000008,69.92303390000005
1311180,Spera Clinic,Paktya,Dand Patan,3,3,0,0,3,0,0,0,60,1394,60,83,169,2,0,7,8,1,0,1784,594,33.82432523000004,69.92275653000006
1311183,Shirwana Algada School,Paktya,Dand Patan,2,2,0,2,0,0,0,0,4,883,70,43,156,1,0,0,1,0,0,1158,579,33.7845194400001,69.90831854
1311184,Speen Mosque,Paktya,Dand Patan,2,2,0,0,2,0,0,0,24,878,132,22,100,1,0,0,3,4,1,1165,582,33.78639894000003,69.89427559000005
1311189,Shpoli Khola Mosque,Paktya,Dand Patan,4,4,0,3,1,0,0,0,36,980,32,52,1276,3,1,2,8,1,0,2391,597,33.80743908000002,69.93841518000005
1313044,Naibuddin Mosque,Paktya,Meerzaka,4,4,0,3,1,0,0,0,21,1922,93,225,42,9,0,3,1,3,1,2320,580,33.81104606500004,69.47595779400008
1313046,Khalilan High School,Paktya,Meerzaka,4,4,0,3,1,0,0,0,29,1914,220,90,76,27,14,2,0,0,0,2372,593,33.76829497000006,69.48719150000007
1313047,Andwam Secondary School,Paktya,Meerzaka,2,2,0,2,0,0,0,0,143,816,124,13,44,8,0,1,11,3,5,1168,584,33.79926444000008,69.53871169000006
1301008,Robaat Girls School,Paktya,Gardez,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6302886600001,69.17345242000005
1301009,Zahoo Primary School,Paktya,Gardez,5,5,0,3,2,0,0,0,91,568,157,1,35,0,2,0,1,6,0,861,172,33.5584119300001,69.33665829000003
1303081,Shagom Bala Madrssa,Paktya,Zurmat,<null>,2,<null>,2,0,0,1,0,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,,33.52564868000016,69.02518018000006
1303082,Haibat Khel Mosque,Paktya,Zurmat,<null>,2,<null>,0,2,0,1,0,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,,33.52519183000004,69.03327035000005
1303098,Emani Khel Madrassa,Paktya,Zurmat,1,2,-1,2,0,0,0,0,31,98,5,68,4,2,3,3,1,1,0,216,216,33.41237302000013,69.10462602000004
1303110,Rahman Khel Madrassa,Paktya,Zurmat,2,2,0,2,0,0,0,0,6,116,5,0,0,0,0,0,0,0,0,127,63,33.45434488000006,69.11850766000006
1303111,Rahman Khel Mosque,Paktya,Zurmat,2,2,0,0,2,0,0,0,0,45,0,0,0,0,0,0,0,1,0,46,23,33.45702921000002,69.11755513000006
1306020,Sayed Karam District Clinic,Paktya,Sayyid Karam,2,3,-1,0,3,0,0,0,0,685,381,4,118,0,0,0,2,0,1,1191,595,33.69381393000001,69.38077860000001
