lon,lat,ps_male,pc_name,pc_code,province,ps_total,ps_female,pc_location,iec_prov_id,map_accuracy,iec_district_id
64.05508292800003,31.29280734100005,1,تعمیر(کوچی مرکز) شین غزک,3014088,هلمند,2,1,شین غزک,30,Village,14
63.12660135000003,34.931614790000005,3,مکتب  قریه کندلان,3101010,بادغيس,5,2,قریه سرچشمه کندلان,31,Building,1
62.98214325000002,34.81712194000004,1,مسجد قریه گل خانه,3102041,بادغيس,2,1,گل خانه,31,Building,2
63.29095889000005,34.99557061000004,1,مکتب اندری,3103026,بادغيس,2,1,اندری,31,Building,3
63.50922407000005,34.78803294000002,1,مسجد جامع قریه زیارت,3104062,بادغيس,2,1,زیارت,31,Building,4
63.46398471000001,35.08734778000005,2,تعمیر ولسوالی دره بوم,3104084,بادغيس,3,1,دره بوم,31,Village,4
64.38803388000005,34.91397267000006,1,مکتب تگاب بیست,3106102,بادغيس,2,1,تگاب بیست,31,Building,6
64.39488717000005,34.73186335000001,1,مسجدشور آبک,3106114,بادغيس,2,1,شور آبک,31,Village,6
64.66544381000004,34.788424860000056,1,مسجد دهن درم الله یار,3106179,بادغيس,2,1,دهن درم الله یار,31,Building,6
62.189654060000045,34.35120526,6,لیسه مهری,3201010,هرات,13,7,ناحیه پنجم,32,Building,1
62.190443540000025,34.34718061000003,0,مجتمع خواهران,3201020,هرات,6,6,ناحیه هفتم,32,Village,1
62.187018230000014,34.33015841000001,6,لیسه سیفی,3201031,هرات,13,7,ناحیه دهم,32,Building,1
62.21926535000004,34.21159790000005,6,مسجد شهرک صنعتی,3201433,هرات,6,0,ولسوالی گذره مقابل میدان هوایی,32,Building,1
62.26027050000003,34.28796115000004,2,ليسه نوين عليا,3202044,هرات,3,1,قریه نوین علیا,32,Building,2
62.08929963000001,34.33616043000004,2,مکتب ابتدایی صوفیان,3202054,هرات,3,1,قریه صوفیان,32,Building,2
62.20890174000003,34.50441929000004,2,مکتب متوسطه پروانه,3202055,هرات,3,1,قریه پروانه,32,Building,2
62.22637120000005,34.31100327000005,3,مکتب متوسطه سروستان,3202065,هرات,5,2,قریه  سروستان,32,Building,2
62.15871020000001,34.26827944000004,2,لیسه شمس الدین کورت,3203092,هرات,3,1,قریه گوشمیر,32,Building,3
62.12261904000005,34.250411190000065,1,مکتب متوسطه تنغارشان,3203103,هرات,2,1,قریه تنغارشان,32,Building,3
62.13458523000002,34.098229590000074,1,مکتب متوسطه پشت کوه ملا یاسین,3203114,هرات,2,1,پشت کوه ملا یاسین,32,Building,3
62.48116607,34.50352369000006,2,مکتب علی آباد,3204153,هرات,3,1,علی آباد,32,Building,4
61.942471690000026,34.49581570000002,1,تعمیر جدید چشمه غوری,3205267,هرات,2,1,چشمه غوری,32,Village,5
62.66974257000003,34.23370899,2,مسجد دوغ آباد,3206120,هرات,3,1,قریه دوغ آباد,32,Building,6
62.463154380000034,34.25318802000001,2,مکتب بوکه,3206132,هرات,3,1,قریه بوکه,32,Building,6
62.86732867000005,34.22681341000003,2,مسجد چیورشی,3206133,هرات,2,0,قریه چیورشی,32,Village,6
62.66137791000004,34.29268952000004,1,مسجد گوشک,3206141,هرات,2,1,قریه گوشک,32,Building,6
62.136105070000035,34.79716161000004,1,لیسه دخترانه مرکز کشک رباط سنگی دوم,3207166,هرات,4,3,مرکز کشک رباط سنگی دوم,32,Building,7
62.16356194000007,34.89908789000002,0,مکتب دوغی دیزوری دوم,3207174,هرات,2,2,قریه دیزوری دوم,32,Building,7
62.23636111000006,35.045833330000036,2,مکتب خلاوک ها,3207184,هرات,3,1,قریه خلاوک های علیا و سفلی,32,Building,7
62.30364166000002,35.120158330000024,5,تعمیر حمام چهل دختر اول,3207193,هرات,5,0,چهل دخترعلیا,32,Building,7
62.51505994000006,33.65592073000001,2,مسجد غوری,3209277,هرات,3,1,قریه غوری,32,Village,9
62.250506930000014,33.77120547000003,2,مکتب متوسطه میرعلی,3209278,هرات,3,1,قریه میرعلی,32,Building,9
62.51752147000006,33.674388070000056,1,مسجد ظهرک,3209289,هرات,3,2,قریه ظهرک,32,Building,9
62.652305870000056,33.540187630000034,2,مسجد ده خار,3209460,هرات,3,1,ده خار,32,Village,9
62.77996648000003,34.74756592000005,2,مسجد جامع گله چغر مردانه,3210421,هرات,2,0,قریه گله چغر,32,Building,10
61.52789287000006,34.417395830000025,2,مسجد جامع سبول,3211252,هرات,3,1,قریه سبول,32,Building,11
62.965517072000054,34.272367180000046,2,مکتب پسرانه رباط آخند,3212380,هرات,2,0,قریه رباط آخند,32,Village,12
61.19986264000003,34.65804204000004,5,لیسه کهسان,3213230,هرات,8,3,مرکز کهسان,32,Building,13
61.15635637000006,34.666532890000035,2,مسجد قریه ته خم,3213240,هرات,3,1,قریه ته خم,32,Building,13
62.137695090000065,33.309871710000024,2,مسجد قدیمی قندیز دوم,3214302,هرات,3,1,قندیز دوم,32,Building,14
62.32015453000006,33.338639050000026,3,مدرسه عزیز آباد,3214324,هرات,4,1,عزیز آباد,32,Building,14
63.03977999000005,33.241388709999995,2,مسجد قبر میر کوه زور,3214346,هرات,3,1,قبر میر,32,Village,14
63.444474720000066,33.848211900000024,2,مکتب متوسطه تیک,3215353,هرات,3,1,قریه تیک,32,Village,15
63.73794786000007,34.336189340000026,3,مکتب اسد الله چشتی,3216389,هرات,4,1,مرکز چشت شریف,32,Building,16
64.05049028000006,34.365118460000055,2,کلینیک دره تخت,3216399,هرات,3,1,قریه دره تخت,32,Village,16
62.11007560000006,32.40300748000001,3,مسجد قلعه بهبود,3301004,فراه,5,2,قلعه بهبود,33,Building,1
62.13117430000003,32.388388960000036,3,مسجد جامع,3301005,فراه,5,2,چهار برجک,33,Building,1
62.167913180000006,32.44646088000006,3,لیسه مردانه,3301028,فراه,4,1,دهک کلان,33,Building,1
61.07509497000005,32.460010470000014,1,مسجد رباط,3304075,فراه,2,1,رباط,33,Building,4
61.56286955000006,32.156759380000025,1,مکتب ابتدائیه دهزک,3305086,فراه,2,1,دهزک,33,Building,5
62.45813061000005,32.63172393000004,1,مکتب ابتدائیه گنج آباد,3306128,فراه,2,1,گنج آباد,33,Building,6
61.64947947000006,32.799538580000025,1,مکتب ابتدائیه کلاته ملا حیدر,3307065,فراه,2,1,کلاته ملا حیدر,33,Building,7
61.514479120000004,31.571498510000016,1,مسجد خیر آباد,3309101,فراه,2,1,خیر آباد,33,Village,9
64.16078924000003,33.164766280000016,1,مسجد واسپ,3311193,فراه,2,1,واسپ,33,Building,11
63.75555555000002,33.18888888000002,1,مسجد کمرک بالا,3311205,فراه,2,1,کمرک بالا,33,Building,11
63.30060398000005,32.96528441000001,1,مسجد کالوشت,3311216,فراه,2,1,کالوشت,33,Building,11
61.89371427000002,30.964856570000045,3,کمپ هندیها (مرکز اضافه شده),3401008,نيمروز,5,2,زرنج,34,Building,1
61.81553352000001,31.113343760000046,2,مکتب ماککی,3402011,نيمروز,3,1,ماککی,34,Building,2
62.04925291000005,31.185009580000006,1,دشت معصوم خان,3403035,نيمروز,2,1,دشت,34,Building,3
62.02335861000004,31.16808355000004,2,مکتب سرگز,3403036,نيمروز,3,1,سرگز,34,Building,3
62.936621820000006,31.66180747000002,1,مسجد قریه,3405043,نيمروز,2,1,پشت حسن,34,Village,5
63.425884320000065,32.158162950000055,2,شیله گی,3406054,نيمروز,3,1,شیله گی,34,Building,6
63.49609533000004,32.17041944000005,1,کچ ستار,3406055,نيمروز,2,1,کچ ستار,34,Village,6
68.53625666000002,33.46131814000004,3,مکتب لغاوت,1105059,غزنى,4,1,لغاوت,11,Village,5
69.03081240000004,33.06990193000004,0,پړاو جومات,1205080,پکتيکا,2,2,پړاو,12,Building,5
68.51570725000003,32.581154160000025,0,سدی خیل د کلی جومات,1209114,پکتيکا,3,3,شادی خیل,12,District,9
69.41749588000003,33.70405809000002,0,د خند خیلو مکتب,1306024,پکتيا,3,3,خنډخیل,13,Village,6
68.33451109,33.750356990000036,1,دفتر ملک قریه,0408079,وردک,2,1,بوشا خیل,4,Village,8
68.72986111000004,36.70166111,5,مکتب نوآباد,1902127,کندز,7,2,نوآباد,19,Building,2
68.90152126000001,37.24561028000003,2,مکتب آق مسجد,1905068,کندز,3,1,قریه آق مسجد,19,Building,5
68.97445482000005,37.141566120000036,2,مکتب متوسطه گنبد,1905078,کندز,3,1,گنبد,19,Building,5
61.52259710000001,35.10507208000005,2,مسجد نهراب,3208199,هرات,3,1,نهراب,32,Building,8
61.91605518000003,34.78393030000005,2,مسجد سنگ کوتل افضل,3208222,هرات,3,1,قریه سنگ کوتل افضل,32,Village,8
69.18442421000002,34.51014871000007,3,مسجد ملا محمود,0101002,کابل,6,3,شور بازار,1,Building,1
69.13634850000004,34.50307616000001,3,مرکز ناحيه ششم,0101119,کابل,5,2,مرکز ناحيه ششم,1,Building,1
69.20136176000004,34.51379585000005,3,ليسه استاد بيتاب,0101156,کابل,6,3,سرک اول شاه شهيد,1,Building,1
69.21474903000005,34.505827060000065,3,مسجد عثمان غنی,0101175,کابل,4,1,سرک نوشصت متره، رحمان مینه,1,Building,1
69.09380967000003,34.49737401000004,3,مسجد سجادي,0101261,کابل,5,2,قریه ده قابل,1,Building,1
69.16008970000006,34.57230417000004,3,مسجد خدر,0101297,کابل,6,3,خواجه بغرا,1,Building,1
69.36598705000004,34.543905760000015,4,مسجد حاجی ستار خان شامحمد خیل,0101331,کابل,8,4,ناحیه ۲۱، پروژه,1,Building,1
69.38449497000003,34.38619700000004,2,مسجد جامع خورد کابل,0109447,کابل,3,1,خورد کابل,1,Building,9
69.76419382000005,34.439165420000045,2,مکتب جگدلک,0115478,کابل,3,1,جگدلک,1,Building,15
69.20299542000002,35.03203636000004,1,مسجد جامع ده ملا یوسف,0301029,پروان,2,1,ده ملا یوسف,3,Building,1
69.25291624000003,35.083516950000025,2,دارالحفاظ سید خیل,0304039,پروان,3,1,بازار سیدخیل,3,Building,4
68.15912160000003,34.311306390000006,2,مکتب قلعه سید تیمور,0407025,وردک,3,1,قلعه سید تیمور,4,Building,7
70.43396128000003,34.397564700000004,4,وزیر محمد ګل خان لیسه,0602069,ننگرهار,6,2,فارم هډه,6,Building,2
70.58077402,34.41472382000006,0,وکيل باغ,0605150,ننگرهار,2,2,قلعه اخند,6,Building,5
70.61419035000004,34.60529142000005,3,لوي کلي جومات,0606186,ننگرهار,3,0,لوي کلي,6,Village,6
70.57134740000002,34.57615245000003,1,جامع جومات,0606209,ننگرهار,2,1,کوهنه ده,6,Building,6
70.51245226000002,34.238669400000035,2,کډي جومات,0607145,ننگرهار,2,0,کډي,6,Village,7
70.10030323000004,34.286353200000036,4,غلام حیدر خان عالی لیسه,0608295,ننگرهار,6,2,ميمله,6,Building,8
70.96236587000003,34.26818253000003,3,ګل ډاګ لیسه,0618504,ننگرهار,5,2,ګلداګ کلي,6,Building,18
70.96479851000002,34.075278030000035,3,سره ګټه منځنی ښوونځی,0622412,ننگرهار,4,1,سره ګټه,6,Village,22
69.89378153000004,34.99639712000001,2,د ګمنډوک جومات,0705112,لغمان,4,2,ګمنډوک,7,Village,5
69.49858248000001,35.293284350000064,3,مسجد خانیز,0801006,پنجشیر,4,1,خانیز,8,Building,1
69.63964523000003,35.32064689000003,2,مسجد کهنه ده پوجاوه,0803062,پنجشیر,3,1,پوجاوه,8,Village,3
70.08305324000005,35.68795377000002,1,مسجد کل کوا,0807076,پنجشیر,2,1,کل کوا,8,Village,7
68.65928913000002,36.04334740000004,2,در بین باغ مسجد اکه خیل,0901040,بغلان,3,1,قریه اکه خیل,9,Building,1
68.46644947000001,35.90047338000002,2,مکتب تاجک ها دهنه بالا,0902087,بغلان,3,1,تاجک ها دهنه بالا,9,Building,2
68.73850708000002,36.13276995000004,2,سرک 11مکتب متوسطه میا گل شهید,0905054,بغلان,4,2,سرک یازده,9,Building,5
69.13946560000002,35.62697115000002,2,لیسه کفتر خانه,0907125,بغلان,3,1,قریه کفتر خانه,9,Building,7
69.25171690000006,35.92660605,2,مدرسه یرم سفلی,0909199,بغلان,4,2,یرم سفلی,9,Building,9
67.53253152000005,34.854981530000025,2,منبر جیم قلعه,1001017,باميان,4,2,جیم قلعه پیتو,10,Building,1
67.89193464000003,35.383498810000034,1,مسجد چوکری دره,1004062,باميان,2,1,چوکری دره,10,Building,4
67.21463234000002,34.47842821000004,2,مسجد کف قول,1006102,باميان,3,1,کف قول,10,Building,6
66.77106596000002,34.29976260000005,2,مسجد قلعه سوخته,1007124,باميان,3,1,قلعه سوخته,10,Building,7
67.18121245,34.067070430000044,1,مسجد دیوان,1007146,باميان,2,1,دیوان,10,Building,7
68.36204028000002,33.54419742000002,1,قلعه کوپی مسجد حاجی الخ,1101054,غزنى,3,2,قلعه کوچی,11,Village,1
68.01160705000005,33.521499454000015,1,مکتب کهنه قول اصیل,1106107,غزنى,4,3,قریه قباق جای,11,Building,6
68.15017367000006,33.676027670000046,2,مسجد قریه لاغری,1109093,غزنى,3,1,قریه لاغری,11,Village,9
67.46948090000004,32.87890108000004,1,مسجد قریه بنګش,1117395,غزنى,2,1,قریه بنګش,11,Village,17
68.47124917000005,32.80979797000001,2,جامع جومات محمد حسن,1207095,پکتيکا,2,0,محمد حسن,12,Building,7
69.00023064000003,32.308755050000045,0,سروکی میلمستون,1208130,پکتيکا,3,3,عموواز,12,Village,8
68.36369675000002,32.19523828000004,2,د ولسوالي مركز ابتدائيه ښوونځي,1217300,پکتيکا,2,0,مرکزابتدائیه ښوونځی,12,Building,17
69.45869145000005,33.680710570000016,3,د کلگر مدرسه,1306038,پکتيا,3,0,کلگر,13,Building,6
69.83788608,33.97793247000003,3,د کوټکی مسجد,1307077,پکتيا,4,1,کوټکی,13,Village,7
69.89792041000003,33.31245426000002,2,زوړ جومات ( مرديخېل),1401010,خوست,4,2,شمل مرديخيل,14,Building,1
69.76656403000001,33.30186096000002,1,د ميټا خان ليسه,1402084,خوست,2,1,قریه ميټا خان,14,Building,2
70.01117979300004,33.23631508300007,2,مستربل غازي آباد جومات,1403174,خوست,4,2,غازی آباد کلی,14,Village,3
70.05113250000002,33.48108103000003,2,کورړو جومات,1407166,خوست,3,1,کورړو کلى,14,Village,7
70.12090203000007,33.62315905000002,2,د مغل خيلو جومات,1413103,خوست,3,1,مغل خيل,14,Building,13
70.95419358000001,34.939678100000016,2,مسجد قریه,1507019,کنړ,3,1,کندگل,15,Village,7
70.90350575000005,34.70483329000004,3,مکتب ترناب,1509093,کنړ,4,1,ترناب,15,Village,9
