لباک,14408,389584,64811,329,904,59107,248220,3530,3962,838,1466,787159
6,0,9,4,1,0,0,9,0,0,0,0,23
7,0,22,5,1,0,0,14,1,1,0,0,44
101022,7,369,68,1,1,32,105,2,0,1,0,586
1,5,75,6,1,0,5,25,1,0,0,0,118
2,1,67,3,0,0,10,23,1,0,0,0,105
3,1,64,6,0,0,8,11,0,0,0,0,90
4,0,60,12,0,0,7,14,0,0,0,0,93
5,0,33,13,0,0,0,5,0,0,0,0,51
6,0,11,21,0,0,0,16,0,0,0,0,48
7,0,59,7,0,1,2,11,0,0,1,0,81
101023,6,322,46,2,2,27,107,3,1,0,2,518
1,4,175,26,2,2,17,47,0,0,0,2,275
3,2,106,10,0,0,10,28,1,1,0,0,158
4,0,20,4,0,0,0,17,1,0,0,0,42
5,0,21,6,0,0,0,15,1,0,0,0,43
101024,8,927,84,1,1,40,220,6,2,0,3,1292
1,0,209,14,1,0,10,49,0,1,0,0,284
2,5,256,20,0,0,10,59,0,1,0,1,352
3,2,223,20,0,0,8,50,4,0,0,0,307
4,0,141,14,0,1,10,25,1,0,0,0,192
5,1,98,16,0,0,2,37,1,0,0,2,157
101025,14,1927,154,0,1,94,453,14,3,1,0,2661
1,3,245,29,0,0,4,57,7,0,0,0,345
2,2,225,25,0,0,5,53,2,0,0,0,312
3,0,201,20,0,0,5,47,2,0,0,0,275
4,4,368,21,0,0,15,73,0,1,0,0,482
5,1,289,23,0,0,22,87,1,0,0,0,423
6,1,292,22,0,0,25,69,0,2,1,0,412
7,3,307,14,0,1,18,67,2,0,0,0,412
101026,1,539,24,0,0,16,57,2,0,0,1,640
1,1,284,17,0,0,16,30,1,0,0,1,350
2,0,255,7,0,0,0,27,1,0,0,0,290
101027,14,571,45,0,0,29,161,4,0,0,1,825
1,10,353,27,0,0,23,96,1,0,0,1,511
2,4,218,18,0,0,6,65,3,0,0,0,314
101028,5,696,172,0,1,88,445,3,3,0,2,1415
1,2,240,38,0,0,33,135,0,0,0,0,448
2,1,115,18,0,0,16,80,0,1,0,1,232
3,1,176,26,0,0,19,108,2,2,0,0,334
4,1,97,12,0,1,19,94,1,0,0,0,225
5,0,27,38,0,0,1,15,0,0,0,0,81
6,0,29,37,0,0,0,10,0,0,0,0,76
7,0,12,3,0,0,0,3,0,0,0,1,19
101029,2,152,41,0,1,6,105,2,7,0,0,316
1,0,69,21,0,1,5,46,1,4,0,0,147
2,2,35,7,0,0,0,33,1,1,0,0,79
3,0,22,7,0,0,1,11,0,2,0,0,43
4,0,16,2,0,0,0,5,0,0,0,0,23
5,0,10,4,0,0,0,10,0,0,0,0,24
101030,0,1160,52,0,0,22,111,1,2,0,0,1348
1,0,326,11,0,0,7,40,0,2,0,0,386
2,0,328,13,0,0,8,29,0,0,0,0,378
3,0,506,28,0,0,7,42,1,0,0,0,584
101031,1,70,5,0,0,17,28,1,0,0,0,122
1,1,70,5,0,0,17,28,1,0,0,0,122
101032,30,909,246,2,1,130,628,4,18,2,2,1972
1,9,201,62,0,0,36,158,1,5,1,0,473
2,9,200,62,0,0,36,157,0,5,1,0,470
4,11,216,58,2,0,38,186,1,1,0,0,513
5,0,199,35,0,0,12,79,2,2,0,1,330
6,1,93,29,0,1,8,48,0,5,0,1,186
101033,47,1214,292,0,0,157,784,11,19,1,4,2529
1,8,281,73,0,0,38,171,2,2,0,0,575
2,15,242,65,0,0,37,223,2,1,0,0,585
3,12,291,57,0,0,32,149,1,7,0,2,551
4,11,245,68,0,0,40,162,4,9,1,1,541
6,0,24,17,0,0,6,33,1,0,0,1,82
7,1,131,12,0,0,4,46,1,0,0,0,195
101034,6,834,227,0,0,38,417,8,6,3,5,1544
1,1,157,58,0,0,9,98,1,2,0,2,328
2,2,172,44,0,0,10,94,2,0,0,0,324
3,1,118,25,0,0,9,60,2,0,0,0,215
4,2,131,20,0,0,4,47,0,2,0,0,206
5,0,98,46,0,0,3,73,0,2,1,1,224
6,0,96,20,0,0,3,33,3,0,2,1,158
7,0,62,14,0,0,0,12,0,0,0,1,89
101035,29,962,275,0,7,86,507,9,13,2,4,1894
1,9,157,41,0,0,18,100,1,3,0,2,331
2,2,146,37,0,1,14,59,2,1,1,1,264
3,4,182,54,0,1,14,85,2,1,0,0,343
4,7,143,26,0,1,9,77,0,1,0,0,264
5,2,78,35,0,1,1,44,1,1,0,0,163
6,3,82,24,0,1,1,61,0,5,0,0,177
7,0,82,23,0,0,29,41,1,1,0,1,178
8,2,92,35,0,2,0,40,2,0,1,0,174
101036,11,1429,302,1,3,64,501,21,16,1,4,2353
1,4,250,35,0,0,14,90,2,2,0,0,397
2,3,232,57,0,0,15,92,3,1,0,2,405
3,3,179,48,1,0,15,80,3,3,0,0,332
4,0,177,30,0,2,13,68,2,4,0,0,296
5,0,169,48,0,0,1,46,6,0,0,1,271
6,1,223,33,0,1,1,69,3,4,0,0,335
7,0,199,51,0,0,5,56,2,2,1,1,317
101037,16,385,49,0,2,50,354,2,2,2,1,863
1,11,130,18,0,0,23,124,0,0,0,0,306
2,1,118,14,0,0,13,89,2,2,0,1,240
3,4,41,10,0,1,12,61,0,0,0,0,129
4,0,47,6,0,1,1,49,0,0,1,0,105
5,0,49,1,0,0,1,31,0,0,1,0,83
101038,13,1427,301,0,2,49,318,11,22,1,2,2146
1,4,338,76,0,0,10,76,3,7,0,1,515
2,4,330,78,0,1,27,86,4,8,0,0,538
3,5,344,103,0,0,12,101,1,3,0,1,570
4,0,190,18,0,0,0,23,0,4,1,0,236
5,0,225,26,0,1,0,32,3,0,0,0,287
101039,21,990,118,3,1,111,635,8,7,2,7,1903
1,13,265,34,0,0,35,210,0,3,1,4,565
2,5,206,30,1,0,31,165,3,2,0,1,444
3,3,238,19,0,0,35,146,3,0,0,1,445
4,0,157,23,1,1,7,73,1,2,1,1,267
5,0,124,12,1,0,3,41,1,0,0,0,182
101040,19,481,109,1,1,92,423,5,8,4,3,1146
1,9,124,28,1,1,26,81,1,3,1,1,276
2,2,105,25,0,0,16,113,0,1,0,0,262
3,6,123,19,0,0,35,107,3,4,1,1,299
4,1,66,19,0,0,9,52,1,0,0,0,148
5,1,63,18,0,0,6,70,0,0,2,1,161
101041,5,352,50,0,1,14,181,7,2,0,0,612
1,3,84,16,0,1,3,53,2,0,0,0,162
2,1,102,12,0,0,9,52,1,1,0,0,178
3,0,54,7,0,0,1,24,2,1,0,0,89
4,1,56,7,0,0,0,21,2,0,0,0,87
5,0,56,8,0,0,1,31,0,0,0,0,96
101042,23,355,83,0,0,52,310,5,4,0,0,832
1,14,260,49,0,0,46,212,2,3,0,0,586
2,9,95,34,0,0,6,98,3,1,0,0,246
101043,10,314,84,0,1,31,221,4,1,1,0,667
1,5,84,29,0,0,17,59,1,0,0,0,195
2,4,112,35,0,0,13,99,2,1,0,0,266
3,1,118,20,0,1,1,63,1,0,1,0,206
101044,12,581,113,2,1,113,468,4,13,4,2,1313
1,2,148,18,2,1,35,117,2,1,1,1,328
2,1,105,17,0,0,31,83,0,0,0,0,237
3,7,91,24,0,0,19,84,0,2,1,0,228
4,1,142,28,0,0,20,81,2,9,1,0,284
5,1,95,26,0,0,8,103,0,1,1,1,236
101045,14,726,136,0,2,55,434,10,8,0,3,1388
1,6,240,54,0,1,24,155,3,4,0,1,488
2,4,150,38,0,0,7,98,0,0,0,2,299
3,3,167,20,0,0,16,85,2,3,0,0,296
4,0,92,16,0,0,6,62,4,0,0,0,180
5,1,77,8,0,1,2,34,1,1,0,0,125
101046,5,391,77,0,2,20,98,2,4,0,9,608
1,3,97,17,0,0,9,34,0,2,0,3,165
2,1,75,17,0,1,7,30,1,1,0,1,134
3,1,74,18,0,0,3,15,0,0,0,0,111
4,0,34,5,0,0,0,12,0,0,0,1,52
5,0,42,6,0,1,1,5,1,0,0,2,58
6,0,69,14,0,0,0,2,0,1,0,2,88
101047,16,560,202,0,1,34,438,4,6,2,0,1263
1,5,141,51,0,0,8,112,1,3,0,0,321
2,5,105,39,0,0,9,85,0,0,0,0,243
3,6,187,63,0,1,11,129,1,0,1,0,399
4,0,65,28,0,0,3,71,1,1,0,0,169
5,0,62,21,0,0,3,41,1,2,1,0,131
101048,3,802,135,2,1,86,338,8,5,0,2,1382
1,0,197,31,0,1,26,92,2,0,0,1,350
2,2,175,32,0,0,29,94,2,2,0,0,336
3,0,194,33,1,0,23,57,0,0,0,0,308
4,0,112,21,0,0,2,49,2,2,0,0,188
5,1,124,18,1,0,6,46,2,1,0,1,200
101049,4,590,127,0,1,77,389,4,0,0,0,1192
1,0,259,48,0,1,46,152,0,0,0,0,506
2,4,302,45,0,0,31,212,1,0,0,0,595
3,0,3,21,0,0,0,12,0,0,0,0,36
4,0,7,2,0,0,0,2,0,0,0,0,11
5,0,11,3,0,0,0,3,2,0,0,0,19
6,0,8,8,0,0,0,8,1,0,0,0,25
101050,16,1052,227,3,6,68,1435,12,0,6,2,2827
1,5,239,31,2,0,17,290,4,0,1,1,590
2,3,271,51,0,0,23,236,2,0,1,0,587
3,8,216,43,0,1,19,212,0,0,0,1,500
4,0,54,11,0,1,1,113,2,0,1,0,183
5,0,71,20,0,0,0,121,0,0,1,0,213
6,0,56,27,0,1,0,131,1,0,0,0,216
7,0,72,18,1,3,4,162,2,0,1,0,263
8,0,73,26,0,0,4,170,1,0,1,0,275
101051,6,519,231,1,7,31,2058,9,5,4,3,2874
1,0,109,45,0,0,8,417,1,0,0,1,581
2,0,131,46,1,1,10,396,2,1,0,1,589
3,3,119,56,0,2,8,394,2,2,3,1,590
4,0,75,45,0,3,1,421,3,2,1,0,551
5,0,67,35,0,1,2,403,0,0,0,0,508
6,3,18,4,0,0,2,27,1,0,0,0,55
101052,10,460,74,0,0,38,397,9,0,0,0,988
1,0,60,11,0,0,2,59,2,0,0,0,134
2,1,56,7,0,0,2,50,0,0,0,0,116
3,0,63,13,0,0,0,74,2,0,0,0,152
4,9,281,43,0,0,34,214,5,0,0,0,586
101053,8,536,120,1,7,35,888,11,14,3,5,1628
1,5,118,11,1,1,12,171,1,4,0,1,325
2,0,88,35,0,0,6,127,1,4,0,1,262
3,1,126,22,0,1,7,149,2,5,1,1,315
4,2,90,19,0,1,8,91,1,0,1,0,213
5,0,17,6,0,1,0,54,5,0,0,0,83
6,0,39,7,0,0,1,72,1,1,1,2,124
7,0,40,9,0,0,1,77,0,0,0,0,127
8,0,18,11,0,3,0,147,0,0,0,0,179
101054,10,1065,124,0,1,55,483,7,4,2,1,1752
2,2,194,24,0,0,9,99,1,1,0,0,330
3,3,233,27,0,0,22,101,2,1,1,1,391
4,4,200,25,0,0,17,103,2,1,1,0,353
5,1,122,14,0,1,2,35,1,0,0,0,176
6,0,80,19,0,0,2,63,0,0,0,0,164
7,0,119,7,0,0,1,47,0,0,0,0,174
8,0,117,8,0,0,2,35,1,1,0,0,164
101055,5,582,39,0,1,36,113,0,2,0,0,778
1,1,195,18,0,0,11,39,0,0,0,0,264
