no.;no_province;district;province;prov_id;vrc_code;vrc_name;location;lat;lon
118;12;Dehsalah;Baghlan;9;908012;Bazar Deh Salah, Deh Salah School Main Road;District;35.68630856;69.3114901
119;13;Khost Wa Feren;Baghlan;9;913013;Doabi Femal school ,Doabi Qarghan,Bazar Doabi;District;36.01674255;69.605191
120;14;Guzargah e Nu;Baghlan;9;914014;Gharoo school, dashte Khasa Village;District;36.20769808;69.5774482
121;15;Fereng Wa Gha;Baghlan;9;915015;Sawq High School;District;36.11640063;69.6422193
122;1;Bamyan;Bamyan;10;1001001;Bamyan Center Male High school;Province Cent;34.824022;67.84408
123;2;Sayghan;Bamyan;10;1003002;Sayghan high School,khudadat khel center;District;35.180377;67.698586
124;3;Yakawlang;Bamyan;10;1005003;Nek Masjed Yakawlang district;District;34.73758323;66.9752075
125;4;Panjab;Bamyan;10;1006004;Pushte Telegraph Femal school;District;34.39217826;67.0219375
126;5;Shibar;Bamyan;10;1002005;District building;District;34.87759573;68.0832447
127;6;Kahmard;Bamyan;10;1004006;Roye Sank school;District;35.31499699;67.6204392
128;7;Waras;Bamyan;10;1007007;Waras Center Masjed;District;34.20450663;66.8744809
129;1;Ghazni;Ghazni;11;1101001;Ghazni city, Directorate of women Affairs;Province Cent;33.54431699;68.4219303
130;2;Khwajaumari;Ghazni;11;1103002;Toramai High school, near to the Bazzar.;District;33.68939;68.39806
131;3;Walimuhamma;Ghazni;11;1102003;khogiani district center, district hospital.;District;33.55440179;68.2972303
132;4;Waghaz;Ghazni;11;1104004;Waghaz Center, High school, near to district departme;District;33.43938087;68.2820238
133;5;Andar;Ghazni;11;1107005;Miri Bazar, Sultan Shuhabudin High school.;District;33.32052;68.44605
134;6;Dehyak;Ghazni;11;1105006;Deh Yak Bazar, District Hospital.;District;33.50185748;68.6112581
135;7;Zanakhan;Ghazni;11;1108007;District Center;District;33.66511258;68.5954227
136;8;Rashidan;Ghazni;11;1109008;Rashidan District,Health Clinic;District;33.7042201;68.2146127
137;9;Jaghatu;Ghazni;11;1106009;Gulbabri Valley, District hospital.;District;33.57472222;68.1905556
138;10;Qarabagh;Ghazni;11;1111010;Qarabagh Bazzar, district hospital.;District;33.19241705;68.1044993
139;11;Giro;Ghazni;11;1112011;Geero District Center, High school.;District;33.10062883;68.3117429
140;12;Nawur;Ghazni;11;1110012;Etifaq high school, Du Abi High school, Nawar bazzar.;District;33.89702427;67.8880547
141;13;Jaghuri;Ghazni;11;1114013;Sang Masha, sultani High school, or district guest hous;District;33.14014773;67.4416022
142;14;Muqur;Ghazni;11;1115014;Maqur Bazzar, Female High school.;District;32.82327134;67.7684556
143;15;Abband;Ghazni;11;1113015;District Center;District;33.0000594;67.9739205
144;16;Ajrestan;Ghazni;11;1118016;Ajrestan Bazar, District Hospital;District;33.51694444;67.1972222
145;17;Malestan;Ghazni;11;1116017;Muradina bazzar, Male High school,;District;33.29277778;67.1863889
146;18;Gelan;Ghazni;11;1117018;Janda Bazar, Agriculture Building.;District;32.7266657;67.6373562
147;19;Nawa;Ghazni;11;1119019;District Center;District;32.32071906;67.8881528
148;1;Gardez;Paktya;13;1301001;Babrak Khan High School;Province Cent;33.60138889;69.2222222
149;2;Sayedkaram;Paktya;13;1306002;District Center, Clinic;District;33.69472542;69.3787636
150;3;Ahmadaba;Paktya;13;1302003;District Center, Clinic;District;33.68071216;69.3289708
151;4;Zurmat;Paktya;13;1303004;District Center, Clinic;District;33.43677954;69.0300742
152;5;Shawak;Paktya;13;1304005;District Center, Clinic;District;33.42644997;69.377959
153;6;Zadran;Paktya;13;1305006;District Center, Clinic;District;33.36785799;69.4372515
154;7;Lija Ahmad Khe;Paktya;13;1308007;District Center, Clinic;District;33.84403763;69.6334402
155;8;Alikhel (Jaji);Paktya;13;1307008;District Center, Clinic;District;33.93798467;69.7054093
156;9;Janikhel;Paktya;13;1309009;District Center, Clinic;District;33.65888614;69.7766237
157;10;Chamkani;Paktya;13;1310010;Dist Center for M / femal school for F;District;33.80463685;69.8125855
158;11;Dand wa Patan;Paktya;13;1311011;District Center, Clinic;District;33.8244444;69.9219444
159;12;Laja Mangal;Paktya;13;1312012;Disctrict Center, Clinic;District;;
160;13;Mirzaka;Paktya;13;1313013;High School and Clinic;District;;
161;1;Asadabad;Kunar;15;1501001;Women Affairs Directorate and IEC Kunar PO;Province Center;;
162;2;Watapur;Kunar;15;1503002;Masjed Qarya , Shamer kut;District;34.9268829;71.091466
163;3;Narang;Kunar;15;1504003;Narang wahab Adil High School Ghondu;District;34.74889;71.01214
164;4;Sarkani;Kunar;15;1505004;Sarkani Male High School;District;34.78705998;71.1071972
165;5;Marawara;Kunar;15;1502005;Khan Ghondi Elemantary school;District;34.88555556;71.1763889
166;6;Shigal Wa shelt;Kunar;15;1506006;Shegal washeltan,District building;District;34.96705012;71.2745512
167;7;Dara e Pech;Kunar;15;1507007;Manongai high shool, Pech dara;District;34.98533986;70.9035668
168;8;Chawkay;Kunar;15;1509008;Jamiat high schol Shaloti;District;34.69972222;70.9275
169;9;Khaskunar;Kunar;15;1510009;Barazi high school;District;34.64625349;70.8976858
170;10;Dangam;Kunar;15;1512010;Dangam Clinic;District;34.99194444;71.4191667
171;11;Barkunar;Kunar;15;1508011;Village Masjed District Building;District;35.03118156;71.3526028
172;12;Ghaziabad;Kunar;15;1511012;Bargam Clinic;District;35.1468618;71.3930831
173;13;Chapadara;Kunar;15;1513013;Kandi High School Chapa Dara;District;34.95124034;70.7625455
174;14;Nurgal;Kunar;15;1514014;Barnorgul Male High school;District;34.61432113;70.7620162
175;15;Nari;Kunar;15;1515015;Naray Clinic;District;35.22217;71.5239
176;1;Nurgeram;Nuristan;16;1604002;District center;District;34.9566848;70.3881742
177;2;Porun;Nuristan;16;1601001;IEC Nuristan Provincial Office;Province Cent;35.3299575;70.8969665
178;3;Mandol;Nuristan;16;1607003;Mandol PC in distric center;District;35.2839167;70.1725246
179;4;Duab;Nuristan;16;1605004;Duab high school in District center;District;35.14914832;70.3019914
180;5;Wama;Nuristan;16;1603005;wama clinic near district center;District;35.11324987;70.7435376
181;6;Waygal;Nuristan;16;1602006;Meddle schoolWant district center;District;35.19231238;70.9967924
182;7;Kamdesh;Nuristan;16;1606007;District center;District;35.42316635;71.3299473
183;8;Barg e Matal;Nuristan;16;1608008;District center;District;35.67290525;71.342886
184;1;Fayzabad;Badakhshan;17;1701001;IEC Badakhshan Provincial Office;Province Cent;37.11221275;70.5633853
185;2;Yaftal e Sufla;Badakhshan;17;1704002;District School,Distirct Center;District;37.28263823;70.4152164
186;3;Argo;Badakhshan;17;1702003;Khermand Shahid high School,Shahre Wahdat District;District;37.05219232;70.4169784
187;4;Arghanjkhwa;Badakhshan;17;1703004;Tagaap School, Tagaap village;District;37.16790131;70.7711179
188;5;Kohestan;Badakhshan;17;1708005;Pas Pul School,District Center;District;37.47284748;70.6197273
189;6;Raghestan;Badakhshan;17;1714006;Masjed Zeraki,District cneter;District;37.59336632;70.5537629
190;7;Yawan;Badakhshan;17;1709007;Zo School,District Center;District;37.54061746;70.4455947
191;8;Shahr e Buzorg;Badakhshan;17;1713008;Sedeqi Shaheed High School,District center;District;37.31107212;70.168153
192;9;Teshkan;Badakhshan;17;1711009;Bazar Teshkan School,District center;District;36.8901352;70.2679929
193;10;Darayem;Badakhshan;17;1707010;Madina High School, District center;District;36.91090663;70.3688286
194;11;Khash;Badakhshan;17;1705011;Marof khash school, District center;District;36.98252272;70.7371027
195;12;Baharak;Badakhshan;17;1706012;Baharistan male High School ,Center district;District;37.00191069;70.90226
196;13;Shuhada;Badakhshan;17;1712013;Sayed Zainudin Shahed High School,District center;District;37.05815087;71.1014904
197;14;Shighnan;Badakhshan;17;1719014;Rahmat School,District center;District;37.55717;71.49196
198;15;Darwaz e Balla;Badakhshan;17;1727015;Khardak Madrasa, District Center;District;38.4094444;71.0386111
199;16;Kofab;Badakhshan;17;1721016;Qala School,District center;District;38.0400871;70.4771439
200;17;Khwahan;Badakhshan;17;1720017;Masjed Jamee Sang Aab,Distric center;District;37.884717;70.221788
201;18;Keshem;Badakhshan;17;1715018;Nawabad Kandumqul School,District Center;District;36.8046103;70.1242534
202;19;Tagab;Badakhshan;17;1717019;Farman Qali Secondery School,District Centere;District;36.58275122;70.2472297
203;20;Yamgan;Badakhshan;17;1718020;Masjed Sanawari District Center;District;36.53368034;70.7284112
204;21;Jorm;Badakhshan;17;1710021;Ghiasi School,Distirct center;District;36.86654024;70.8318298
205;22;Warduj;Badakhshan;17;1716022;Shakeran School District Center;District;36.90677461;71.0659763
206;23;Eshkmesh;Badakhshan;17;1723023;Ishkashim High School, District Center;District;36.70879773;71.5741975
207;24;Darwaz;Badakhshan;17;1722024;Charbagh Madrasa District Center;District;38.444241;70.803059
208;25;Shaki;Badakhshan;17;1724025;Zharf School,District center;District;38.2425;70.5508333
209;26;Koran wa Monj;Badakhshan;17;1726026;Pas keran School, District center;District;36.02580151;70.764803
210;27;Zebak;Badakhshan;17;1725027;Neswan Zebak,Zebak Center;District;36.53122;71.34322
211;28;Wakhan;Badakhshan;17;1728028;Khandood Wakhan District Center;District;36.94877172;72.3138295
212;1;Taloqan;Takhar;18;1801001;Abu Osman Taluqani High School;Province Cent;36.72966278;69.5479027
213;2;Hazarsumuch;Takhar;18;1802002;Hazar smooch high school;District;36.86518187;69.5629038
214;3;Baharak;Takhar;18;1803003;Abdulqayoombik high school;District;36.82111111;69.4130556
215;4;Bangi;Takhar;18;1804004;Etihad high school;District;36.66492816;69.3418959
216;5;Chal;Takhar;18;1805005;khanaqa secondery school;District;36.53057121;69.5505409
217;6;Namakab;Takhar;18;1806006;Bikhi kotal;District;36.59439838;69.6410896
218;7;Farkhar;Takhar;18;1808007;Samimi shahid high school;District;36.5818308;69.8551824
219;8;Kalafgan;Takhar;18;1807008;Abulhasan e kherqani high school;District;36.774088;69.944982
220;9;Rostaq;Takhar;18;1810009;Hazrat e omer farooq high school;District;37.14111111;69.7975
221;10;Chahab;Takhar;18;1816010;Male high school;District;37.3974662;69.8088203
