PC_number,PS_number,Eng- Qutbuddin Hilal,Dr.Abdullah Abdullah,Zalmai Rassoul,Abdul Rahim Wardak,Quayum Karzai,Prof-Abdo Rabe Rasool Sayyaf,Dr.Mohammad Ashraf Ghani Ahmadzai,Mohammad Daoud Sultanzoy,Mohd. Shafiq Gul Agha Sherzai,Mohammad Nadir Naeem,Hedayat Amin Arsala,Total
101172,1,10,142,19,0,0,10,152,1,0,0,1,335
101172,2,3,179,31,0,0,1,153,1,1,0,2,371
101172,3,9,135,31,0,2,20,176,1,1,0,1,376
101172,4,8,151,28,0,0,12,170,1,0,0,0,370
101173,1,20,144,16,1,0,17,264,1,2,0,1,466
101173,2,22,148,8,0,0,18,230,1,1,0,0,428
101173,3,3,54,7,0,0,3,60,0,0,0,0,127
101174,1,12,65,23,0,2,9,462,0,1,0,0,574
101174,2,0,122,12,0,0,9,234,0,0,0,0,377
101175,1,8,34,15,0,0,6,220,0,1,0,2,286
101175,2,16,45,11,0,2,3,168,1,1,1,1,249
101175,3,11,27,9,0,1,7,161,3,0,1,0,220
101175,4,6,53,7,0,5,10,138,1,0,0,0,220
101176,1,22,31,7,0,4,13,502,1,0,0,1,581
101176,2,21,26,9,0,0,14,511,0,4,0,0,585
101176,3,28,44,12,0,0,26,474,0,3,1,1,589
101176,4,2,17,3,0,1,3,278,0,0,0,0,304
101176,5,6,7,4,0,0,3,350,0,0,0,0,370
101176,6,21,20,3,0,0,27,217,1,1,1,1,292
101176,7,9,7,3,0,0,13,226,0,2,0,0,260
101177,1,11,372,32,1,0,26,139,2,3,1,0,587
101177,2,7,374,38,0,1,24,128,4,0,0,0,576
101177,3,2,172,21,2,0,9,76,3,2,0,0,287
101177,4,4,118,12,0,0,21,48,3,0,0,0,206
101178,1,7,113,29,0,2,8,170,0,1,0,1,331
101178,2,5,119,22,0,0,13,219,1,1,0,1,381
101178,3,3,155,23,1,0,17,139,1,0,1,0,340
101178,4,0,96,33,2,1,3,200,0,0,0,0,335
101179,1,8,140,23,0,1,17,204,2,3,0,2,400
101179,2,6,137,20,0,0,20,227,1,1,1,0,413
101179,3,5,122,15,0,0,22,253,2,2,1,0,422
101179,4,1,42,8,0,1,8,60,0,1,0,0,121
101180,1,7,252,35,0,0,22,179,2,2,0,0,499
101180,2,1,173,27,0,0,9,104,1,1,0,1,317
101180,3,3,162,25,0,0,10,126,3,2,0,0,331
101180,4,0,88,18,0,0,2,69,0,1,0,0,178
101181,1,1,135,23,0,0,15,158,1,2,0,2,337
101181,2,4,109,34,0,0,8,170,2,1,0,1,329
101181,3,3,118,36,0,0,11,139,4,0,0,1,312
101181,4,0,13,8,0,0,1,30,1,0,0,1,54
101181,5,0,27,8,0,0,3,60,0,0,0,0,98
101181,6,0,47,15,0,0,0,83,0,2,0,0,147
101182,1,4,210,53,1,0,13,299,2,2,0,2,586
101182,2,5,192,77,0,0,22,289,3,2,0,0,590
101182,3,0,190,61,0,0,14,302,6,2,0,1,576
101182,4,1,151,51,0,0,4,205,4,1,0,2,419
101182,5,1,171,69,0,0,13,281,4,3,0,1,543
101182,6,0,95,28,0,0,2,168,4,3,0,2,302
101183,1,4,109,25,0,0,7,182,0,4,0,0,331
101183,2,5,165,35,0,0,11,178,1,2,0,0,397
101183,3,2,147,26,0,0,12,203,0,5,0,0,395
101183,4,0,146,59,0,1,3,217,3,2,0,0,431
101183,5,0,121,60,0,0,1,200,1,0,0,1,384
101184,1,2,188,38,0,0,15,246,2,3,1,1,496
101184,2,2,188,45,0,1,14,249,2,5,0,1,507
101184,3,4,174,28,0,0,19,191,1,4,0,1,422
101184,4,0,59,25,0,0,1,116,1,1,0,0,203
101184,5,0,40,10,0,0,0,112,1,1,0,2,166
101184,6,1,57,8,0,0,0,70,2,0,0,0,138
101185,1,3,258,7,0,0,24,283,2,0,1,0,578
101185,2,5,83,19,0,0,9,457,0,1,0,0,574
101185,3,10,189,13,0,0,11,355,2,0,0,0,580
101185,4,5,42,13,0,0,10,197,0,0,0,0,267
101185,5,4,63,6,0,0,12,164,1,0,0,0,250
101185,6,0,18,36,0,0,0,124,0,0,1,0,179
101185,7,9,65,6,0,0,9,265,0,0,1,1,356
101186,1,16,239,18,0,0,28,279,1,2,0,0,583
101186,2,15,214,15,0,0,27,299,1,8,0,1,580
101186,3,15,184,29,0,2,36,298,2,3,2,0,571
101186,4,6,169,22,1,1,8,146,2,2,0,1,358
101187,1,4,279,15,0,0,16,113,0,1,0,0,428
101187,2,4,263,24,0,0,24,117,4,1,0,1,438
101187,3,0,184,26,0,0,3,97,1,0,0,0,311
101188,1,7,294,36,0,0,28,205,4,1,0,1,576
101188,2,11,299,31,1,0,24,132,5,0,0,0,503
101188,3,3,300,26,0,0,22,118,1,1,0,0,471
101188,4,2,72,11,0,0,0,40,3,0,0,0,128
101188,5,1,78,10,0,0,2,32,3,1,0,0,127
101188,6,0,69,13,0,0,0,42,2,0,0,0,126
101189,1,6,86,10,0,3,12,463,1,2,0,2,585
101189,2,3,57,19,0,0,16,483,0,0,0,1,579
101189,3,8,56,2,0,5,8,491,0,8,0,1,579
101189,4,2,70,14,0,1,3,375,0,6,0,0,471
101189,5,5,6,3,0,0,0,144,1,0,0,0,159
101190,1,8,307,46,0,0,24,175,1,3,0,0,564
101190,2,0,25,11,0,0,2,24,0,3,0,0,65
101191,1,4,315,31,0,0,34,199,2,0,0,1,586
101191,2,7,289,58,0,1,28,202,1,1,2,3,592
101191,3,0,29,8,0,0,0,15,3,0,0,0,55
101191,4,0,23,11,0,0,0,12,0,0,1,0,47
101191,5,13,86,14,0,0,15,63,0,1,0,0,192
101192,1,13,180,23,1,1,19,334,2,2,1,0,576
101192,3,0,159,11,0,3,9,213,1,2,0,0,398
101193,1,5,237,43,0,0,17,279,1,1,2,1,586
101193,2,1,202,42,0,3,11,312,6,1,0,0,578
101194,1,7,144,23,0,0,10,169,0,0,0,1,354
101194,2,1,187,36,0,1,10,179,3,2,1,0,420
101194,3,2,153,22,0,0,8,151,4,1,0,0,341
101194,4,1,103,19,0,0,6,113,1,0,0,0,243
101194,5,2,123,32,0,0,1,122,1,0,0,1,282
101195,1,4,348,55,0,1,31,125,3,0,0,0,567
101195,2,0,108,10,0,0,0,42,0,1,0,0,161
101196,1,1,82,44,0,7,1,337,1,2,2,0,477
101196,2,8,124,59,0,3,12,377,1,0,1,2,587
101196,3,0,62,47,0,2,4,311,0,1,1,0,428
101197,1,0,315,63,0,1,4,182,3,4,0,2,574
101197,2,2,257,67,0,0,4,182,5,3,0,0,520
101197,3,1,312,79,1,0,0,101,5,2,0,0,501
101198,1,0,327,105,0,4,5,129,3,6,0,1,580
101198,2,2,326,85,0,1,7,157,2,2,1,0,583
101198,3,0,351,111,0,0,1,119,6,1,1,0,590
101199,1,8,292,98,0,2,6,165,4,4,0,0,579
101199,2,3,296,97,2,0,15,169,4,3,1,0,590
101199,3,8,305,56,1,1,15,177,4,4,2,3,576
101200,1,2,272,42,0,0,11,224,3,4,0,5,563
101200,2,2,130,49,0,0,1,235,0,2,0,0,419
101201,1,5,353,108,0,0,28,79,1,3,0,0,577
101201,2,0,347,138,0,0,3,75,3,1,0,0,567
101202,1,3,213,36,0,2,16,130,5,2,2,1,410
101202,2,2,160,28,0,1,6,87,4,0,0,0,288
101202,3,4,122,20,0,0,11,115,3,0,0,0,275
101202,4,4,150,49,0,1,1,138,3,0,1,0,347
101202,5,4,149,57,0,0,4,148,1,0,3,1,367
101203,1,8,229,52,1,0,11,156,5,0,0,1,463
101203,2,2,190,58,1,0,12,146,2,1,0,1,413
101203,3,0,244,80,0,4,6,199,6,1,0,1,541
101204,1,4,82,65,1,1,7,412,2,1,2,3,580
101204,2,5,82,77,0,2,11,409,4,0,0,2,592
101204,3,1,26,28,2,2,0,520,1,1,1,0,582
101205,1,5,337,80,3,2,21,124,2,2,0,1,577
101205,2,3,369,74,0,3,18,105,4,3,1,3,583
101205,3,1,303,115,2,2,2,153,3,0,0,1,582
101206,1,5,361,98,0,0,23,88,3,1,3,0,582
101206,2,0,358,109,0,1,8,65,4,0,1,2,548
101206,3,1,102,16,0,0,6,36,1,0,1,1,164
101207,1,3,145,75,1,1,6,318,1,1,1,1,553
101207,2,0,63,69,1,3,0,286,1,0,2,1,426
101208,1,1,286,131,0,0,2,124,4,1,1,0,550
101208,2,2,229,117,1,0,7,95,2,2,0,0,455
101208,3,0,320,151,0,0,1,93,9,1,0,0,575
101209,2,1,85,16,0,0,0,125,1,0,2,0,230
101210,1,4,383,26,0,0,23,134,2,2,0,1,575
101210,2,0,85,7,0,1,1,51,2,0,0,0,147
101211,1,8,260,78,0,1,11,208,2,0,0,2,570
101211,2,1,142,49,0,3,9,116,0,1,0,1,322
101211,3,5,256,92,0,0,14,173,2,3,1,1,547
101211,4,1,135,53,0,1,11,90,4,7,1,2,305
101211,5,0,30,18,0,0,1,27,1,2,0,0,79
101211,6,0,80,29,0,1,4,46,3,3,0,0,166
101211,7,0,115,42,0,0,2,64,1,4,0,0,228
101212,1,1,176,45,0,1,21,87,2,1,1,2,337
101212,2,4,129,37,0,0,14,66,1,0,0,3,254
101213,1,1,183,46,0,0,10,89,2,1,0,0,332
101213,2,2,182,47,0,0,8,97,3,3,1,0,343
101213,3,0,100,19,0,0,2,43,3,3,1,0,171
101213,4,0,54,12,0,0,1,27,0,1,0,0,95
101214,1,4,258,51,0,0,18,148,4,0,1,2,486
101214,2,2,70,22,0,0,0,22,3,0,0,0,119
101215,1,4,252,51,0,3,15,225,3,3,1,0,557
101215,2,1,258,63,0,0,18,208,1,1,1,0,551
101215,3,2,170,61,1,0,9,150,1,0,1,0,395
101215,4,1,170,48,0,0,5,185,5,0,0,1,415
101215,5,1,164,73,0,0,3,167,2,0,1,1,412
101216,1,4,207,71,0,0,9,74,0,1,0,2,368
101216,2,1,179,66,0,0,2,80,1,1,0,1,331
101216,3,1,165,64,0,0,1,59,8,2,0,1,301
101216,5,0,165,46,0,0,0,64,4,7,0,0,286
101216,6,0,182,48,0,0,0,32,1,0,1,2,266
101216,7,0,153,47,0,0,2,42,4,0,0,2,250
101217,1,9,299,54,0,0,15,197,2,3,1,2,582
101217,2,7,289,21,0,0,1,114,6,0,0,0,438
101218,1,0,119,52,0,0,6,61,0,0,0,1,239
101218,2,14,199,42,0,0,30,102,1,2,1,1,392
101218,3,9,190,29,0,0,24,97,2,1,0,0,352
101219,1,4,145,29,0,2,18,303,1,1,0,0,503
101219,2,5,141,27,0,0,15,266,2,5,0,0,461
101219,3,0,83,17,0,2,3,110,0,0,0,0,215
101219,4,0,94,11,1,0,4,106,3,3,0,1,223
101219,5,0,0,0,0,0,0,0,0,0,0,0,0
101220,1,0,94,16,0,0,2,52,4,0,0,0,168
101220,2,1,88,12,0,0,3,33,1,0,0,0,138
101220,3,0,48,7,0,2,1,52,4,0,0,0,114
101221,1,0,100,41,0,0,11,113,2,0,0,0,267
101221,2,0,114,45,0,0,2,105,3,1,1,1,272
101221,3,0,95,50,0,0,0,70,0,0,1,0,216
101221,4,0,69,13,0,0,0,62,2,1,0,0,147
101222,1,5,163,36,0,0,27,121,1,2,0,1,356
101222,2,4,121,15,1,1,12,93,0,1,0,0,248
101222,3,1,122,29,0,1,7,69,3,0,1,0,233
101222,4,0,20,6,0,0,2,13,2,1,1,0,45
101222,5,0,28,11,0,0,1,13,1,0,0,0,54
101223,1,2,194,45,0,0,18,166,3,2,0,0,430
101223,2,2,152,18,0,2,14,113,4,1,1,0,307
101223,3,1,177,22,0,1,20,96,4,0,0,1,322
101223,4,0,38,13,0,0,0,18,1,0,0,0,70
101223,5,0,19,6,0,0,1,7,0,0,0,0,33
101224,1,1,210,52,1,2,26,146,7,0,1,10,456
101224,2,6,157,38,0,0,13,125,6,2,0,8,355
101224,3,0,4,6,0,0,0,7,0,0,0,1,18
101224,4,0,5,5,0,0,0,8,0,0,0,1,19
101225,1,2,304,103,0,0,5,90,5,1,1,0,511
101225,2,2,226,76,0,0,4,62,0,1,0,0,371
101225,3,0,389,99,0,0,1,84,8,2,1,1,585
101226,1,1,177,113,0,0,18,120,1,1,0,5,436
101226,2,0,216,141,1,0,35,148,4,8,1,2,556
101226,3,4,163,106,0,1,24,141,0,14,0,0,453
101226,4,1,5,16,0,0,0,4,0,0,0,1,27
101226,5,0,4,17,0,0,0,9,0,2,0,0,32
101227,1,8,267,49,0,1,28,221,1,2,1,2,580
101227,2,11,257,37,0,3,30,228,3,7,1,0,577
101227,3,0,341,42,1,3,3,96,3,5,1,1,496
101228,1,4,267,55,0,1,24,172,3,9,1,0,536
101228,2,4,250,52,0,1,25,180,0,4,0,1,517
101228,3,0,20,23,0,1,1,96,0,1,0,0,142
101229,1,7,462,32,0,0,39,36,3,1,0,1,581
101229,2,1,385,29,0,0,32,52,1,1,0,1,502
101229,3,4,331,20,0,0,15,37,3,0,0,0,410
101229,4,0,177,8,0,1,17,11,0,0,1,0,215
101229,5,4,102,3,0,0,3,6,0,0,0,0,118
101230,1,8,442,22,0,2,42,67,6,0,0,3,592
101230,2,3,450,19,0,1,40,73,1,0,1,1,589
101230,3,15,438,22,0,0,39,69,2,0,1,0,586
101230,4,3,105,17,0,0,4,15,0,0,0,0,144
101230,5,1,97,8,0,1,1,21,1,0,0,0,130
101230,6,0,138,12,0,0,1,19,0,0,0,0,170
101231,1,2,303,16,0,0,25,118,2,0,0,0,466
101231,2,2,213,19,0,0,16,92,0,0,0,0,342
101231,3,0,202,20,0,1,8,63,0,0,0,0,294
101232,1,2,440,30,0,1,22,91,1,1,0,0,588
101232,2,1,381,30,0,0,33,133,1,1,1,1,582
101232,3,4,413,37,0,0,33,95,0,0,0,0,582
101232,4,0,159,16,0,0,3,33,2,0,0,0,213
101232,5,1,165,17,0,1,10,50,2,0,0,0,246
101232,6,0,159,26,0,0,4,55,1,1,0,0,246
101233,1,5,382,32,1,1,45,118,1,1,0,0,586
