PC_number,PS_number,Eng- Qutbuddin Hilal,Dr.Abdullah Abdullah,Zalmai Rassoul,Abdul Rahim Wardak,Quayum Karzai,Prof-Abdo Rabe Rasool Sayyaf,Dr.Mohammad Ashraf Ghani Ahmadzai,Mohammad Daoud Sultanzoy,Mohd. Shafiq Gul Agha Sherzai,Mohammad Nadir Naeem,Hedayat Amin Arsala,Total
114371,3,16,76,6,0,0,22,22,0,0,0,1,143
114371,4,0,5,0,0,0,1,1,1,0,0,1,9
114371,5,0,1,0,0,0,1,4,0,0,0,0,6
114371,6,0,14,1,0,0,4,0,0,0,0,0,19
114372,1,19,138,22,0,0,34,21,1,4,0,0,239
114372,2,3,164,14,0,0,27,28,2,0,0,0,238
114372,3,0,28,2,0,0,3,4,0,2,0,0,39
114372,4,2,23,3,0,0,0,4,0,0,0,0,32
114373,1,6,86,32,0,1,64,158,0,0,0,0,347
114373,2,10,100,19,0,0,60,157,1,2,1,0,350
114373,3,4,94,17,0,0,41,80,0,0,0,0,236
114373,4,0,13,27,0,0,1,2,3,0,0,0,46
114373,5,0,10,42,0,0,2,3,1,0,0,0,58
114373,6,0,53,1,0,0,13,3,0,0,1,0,71
114547,1,21,81,52,1,2,30,96,0,1,1,0,285
114547,2,35,69,39,0,1,38,103,2,2,0,2,291
114547,3,0,49,13,0,0,7,57,3,0,0,0,129
114548,1,77,108,5,0,0,72,74,0,2,0,0,338
114548,2,66,135,14,0,0,106,78,0,1,1,0,401
114548,3,3,50,2,0,0,37,12,0,0,0,0,104
114549,1,10,72,6,0,0,37,72,0,1,0,0,198
114549,2,6,63,3,0,2,51,124,0,2,0,1,252
114549,3,0,88,1,0,0,21,61,0,0,0,0,171
115476,1,42,263,32,0,0,101,150,0,2,0,0,590
115476,2,36,25,21,0,1,13,196,0,0,0,1,293
115476,3,62,64,28,0,2,24,386,1,4,0,2,573
115477,1,32,27,30,0,0,10,485,1,2,6,1,594
115477,2,82,66,40,0,0,49,301,1,5,0,0,544
115477,3,48,15,47,0,1,17,442,0,6,1,0,577
115477,4,19,4,24,0,1,6,436,0,11,2,1,504
115477,5,2,6,27,0,2,0,452,0,0,1,0,490
115478,1,4,61,73,0,0,18,412,0,1,0,0,569
115478,2,5,9,83,0,0,9,474,0,1,0,0,581
115479,1,46,8,47,0,2,7,403,0,9,1,19,542
115479,2,35,13,19,2,1,7,439,0,12,0,20,548
115479,3,6,3,142,0,0,0,213,0,13,0,8,385
115480,1,3,0,1,0,0,0,395,0,0,0,16,415
115480,2,13,0,10,0,2,0,569,0,0,1,0,595
115481,1,27,25,20,0,0,18,460,0,3,0,3,556
