votes,ps,ﺭﺩﻧﺟ,ﯽﻫﺩﻳﺃﺭ ﺯﮐﺭﻣ ﻡﺎﻧ,pc_code,ﺕﻳﻻﻭ,audit_number
600,2,ﻪﻧﺎﻧﺯ,ﺕﺎﻣﻭﺟ ﻥﺎﺣ ﻝﻳﻣﺟ,1212194,ﺎﮑﻳﺗﮑﭘ,635
600,1,ﻪﻧﺎﻧﺯ,ﻪﻣﺭﻳոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﺭﻳﮕﻧﺎﺟ,1214260,ﺎﮑﻳﺗﮑﭘ,636
600,2,ﻪﻧﺎﻧﺯ,ﻪﻣﺭﻳոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﺭﻳﮕﻧﺎﺟ,1214260,ﺎﮑﻳﺗﮑﭘ,637
600,1,ﻪﻧﺍﺩﺭﻣ,ﺕﺎﻣﻭﺟ ﺭﻳﮕﻧﺎﺟ,1215269,ﺎﮑﻳﺗﮑﭘ,638
600,2,ﻪﻧﺍﺩﺭﻣ,ﺕﺎﻣﻭﺟ ﺭﻳﮕﻧﺎﺟ,1215269,ﺎﮑﻳﺗﮑﭘ,639
600,3,ﻪﻧﺍﺩﺭﻣ,ﺕﺎﻣﻭﺟ ﺭﻳﮕﻧﺎﺟ,1215269,ﺎﮑﻳﺗﮑﭘ,640
600,1,ﻪﻧﺎﻧﺯ,ﺕﺎﻣﻭﺟ ﺭﺍﺯﺎﺑ ﻭﻠﻳﺧ ﯽﻧﺎﺟ ﺩ,1209110,ﺎﮑﻳﺗﮑﭘ,641
600,1,ﻪﻧﺎﻧﺯ,ﯽըﻧﻭﻭ֢ ﻝﻳﺧ ﯽﻧﺎﺟ,1209120,ﺎﮑﻳﺗﮑﭘ,642
600,1,ﻪﻧﺍﺩﺭﻣ,ﺕﺎﻣﻭﺟ ﯽﻠﮐ ﻝﺎﻣﮐ,1215267,ﺎﮑﻳﺗﮑﭘ,643
600,2,ﻪﻧﺍﺩﺭﻣ,ﺕﺎﻣﻭﺟ ﯽﻠﮐ ﻝﺎﻣﮐ,1215267,ﺎﮑﻳﺗﮑﭘ,644
600,3,ﻪﻧﺍﺩﺭﻣ,ﺕﺎﻣﻭﺟ ﯽﻠﮐ ﻝﺎﻣﮐ,1215267,ﺎﮑﻳﺗﮑﭘ,645
600,4,ﻪﻧﺍﺩﺭﻣ,ﺕﺎﻣﻭﺟ ﯽﻠﮐ ﻝﺎﻣﮐ,1215267,ﺎﮑﻳﺗﮑﭘ,646
600,2,ﻪﻧﺎﻧﺯ,ﻪﻣﻳﺧ یﺯﻧﻣﺭﻳﺧ,1208293,ﺎﮑﻳﺗﮑﭘ,647
600,3,ﻪﻧﺎﻧﺯ,ﻪﻣﻳﺧ یﺯﻧﻣﺭﻳﺧ,1208293,ﺎﮑﻳﺗﮑﭘ,648
600,1,ﻪﻧﺍﺩﺭﻣ,ﺕﺎﻣﻭﺟ ﺩﻣﺣﻣ ﻥﺎﺧ,1210148,ﺎﮑﻳﺗﮑﭘ,649
600,1,ﻪﻧﺎﻧﺯ,ﻪﻣﺭﻳոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﺝﺍﺭﻳﺧ,1215276,ﺎﮑﻳﺗﮑﭘ,650
600,2,ﻪﻧﺎﻧﺯ,ﻪﻣﺭﻳոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﺝﺍﺭﻳﺧ,1215276,ﺎﮑﻳﺗﮑﭘ,651
600,1,ﻪﻧﺍﺩﺭﻣ,טﻧոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﻑﻳﻁﻟ,1215278,ﺎﮑﻳﺗﮑﭘ,652
600,2,ﻪﻧﺍﺩﺭﻣ,טﻧոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﻑﻳﻁﻟ,1215278,ﺎﮑﻳﺗﮑﭘ,653
600,3,ﻪﻧﺍﺩﺭﻣ,טﻧոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﻑﻳﻁﻟ,1215278,ﺎﮑﻳﺗﮑﭘ,654
600,4,ﻪﻧﺎﻧﺯ,טﻧոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﻑﻳﻁﻟ,1215278,ﺎﮑﻳﺗﮑﭘ,655
600,2,ﻪﻧﺎﻧﺯ,ﻪﻣﺭﻳոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﻭﺩﺎﻣ,1210152,ﺎﮑﻳﺗﮑﭘ,656
600,3,ﻪﻧﺎﻧﺯ,ﻪﻣﺭﻳոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﻭﺩﺎﻣ,1210152,ﺎﮑﻳﺗﮑﭘ,657
600,1,ﻪﻧﺍﺩﺭﻣ,טﻧոﺭﺗ ﻥﺎﮐﻭﺩ ﻭﺩﺎﻣ,1210151,ﺎﮑﻳﺗﮑﭘ,658
600,1,ﻪﻧﺎﻧﺯ,ﻪﺗﺎﺷ ﻥﻭﺗﺳﻣﻠﻳﻣ ﷲﻭﺭﻳﻔﺧﻣ,1214264,ﺎﮑﻳﺗﮑﭘ,659
600,2,ﻪﻧﺎﻧﺯ,ﻪﺗﺎﺷ ﻥﻭﺗﺳﻣﻠﻳﻣ ﷲﻭﺭﻳﻔﺧﻣ,1214264,ﺎﮑﻳﺗﮑﭘ,660
600,2,ﻪﻧﺍﺩﺭﻣ,ﻩډﺍ ﯽךﻧﺯ ﺕﺎﻣﻭﺟ ﯽﻠﮐﺩ,1214303,ﺎﮑﻳﺗﮑﭘ,661
600,1,ﻪﻧﺎﻧﺯ,ﻪﺗﺎﺷ ﻥﻭﺗﺳﻣﻠﻳﻣ ﷲﺩﺑﻋ ﮏﻠﻣ,1209116,ﺎﮑﻳﺗﮑﭘ,662
