ﮐﻭﺩ ﻣﺭﮐﺯ ﺭﺍﻳﺩﻫﯽ,ﻭﻻﻳﺕ,ﻭﻟﺳﻭﺍﻟﻲ,ﻧﺎﻡ ﻣﺭﮐﺯ ﺭﺍﻳﺩﻫﯽ,ﻣﻭﻗﻳﻌﺕ ﻣﺭﮐﺯ ﺭﺍﻳﺩﻫﯽ,ﻣﺣﻼﺕ ﻣﺭﺩﺍﻧﻪ,ﻣﺣﻼﺕ ﺯﻧﺎﻧﻪ,ﻣﺟﻣﻭﻉ ﻣﺣﻼﺕ
0404098,ﻭﺭﺩک,ﭼﮏ ﻭﺭﺩک,ﻣﮑﺗﺏ ﺍﺑﺗﺩﺍﺋﻳﻪ ﺷﻳﺭﺯﺍﺩ,ﺷﺭﻳﻑ ﺧﻳﻝ,1,1,2
0404099,ﻭﺭﺩک,ﭼﮏ ﻭﺭﺩک,ﻣﺳﺟﺩ ﻗﺭﻳﻪ ﺯﺭﮐﮏ,ﻗﺭﻳﻪ ﮔﻭﺩﻩ ﺯﺭﮐﮏ,1,1,2
0404100,ﻭﺭﺩک,ﭼﮏ ﻭﺭﺩک,ﭘﻬﻠﻭی ﻣﻧﺯﻝ ﻗﺎﺿﯽ ﻋﻠﻡ ﮔﻝ,ﻗﺭﻳﻪ ﮐﺭﺍﮐﺕ,2,1,3
0404101,ﻭﺭﺩک,ﭼﮏ ﻭﺭﺩک,ﻣﮑﺗﺏ ﺳﻳﺎﺏ,ﺑﻳﺭﺍﻧﻪ,1,1,2
0404102,ﻭﺭﺩک,ﭼﮏ ﻭﺭﺩک,ﻣﮑﺗﺏ ﺍﺑﺗﺩﺍﺋﻳﻪ ﻋﻣﺭﻓﺎﺭﻭﻕ,ﺳﺭﭘﻭﺵ,1,1,2
0404103,ﻭﺭﺩک,ﭼﮏ ﻭﺭﺩک,ﻣﺳﺟﺩ ﻗﺭﻳﻪ ﮐﻭﻟﮏ,ﻗﺭﻳﻪ ﮐﻭﻟﮏ,1,1,2
0404106,ﻭﺭﺩک,ﭼﮏ ﻭﺭﺩک,ﻣﺳﺟﺩ ﮐﻼﻥ ﻗﺭﻳﻪ ﻗﺎﺩﺭﺧﻳﻝ,ﻗﺭﻳﻪ ﻗﺎﺩﺭ ﺧﻳﻝ,1,1,2
0405117,ﻭﺭﺩک,ﺳﻳﺩ ﺁﺑﺎﺩ,ﺧﻳﻣﻪ ﺩﺭ ﻗﺭﻳﻪ ﻫﻔﺕ ﺍﺳﻳﺎ,ﻫﻔﺕ ﺍﺳﻳﺎ,1,1,2
0405118,ﻭﺭﺩک,ﺳﻳﺩ ﺁﺑﺎﺩ,ﻣﮑﺗﺏ ﺷﺵ ﻗﻠﻌﻪ,ﺷﺵ ﻗﻠﻌﻪ,1,1,2
0405120,ﻭﺭﺩک,ﺳﻳﺩ ﺁﺑﺎﺩ,ﺧﻳﻣﻪ ﺩﺭﺩﺍﺧﻝ ﻗﺭﻳﻪ ﺍﻟﻑ ﺧﻳﻝ,ﺍﻟﻑ ﺧﻳﻝ‐ﭼﻳﻧﺎﺭﺧﻳﻝ,1,1,2
0405122,ﻭﺭﺩک,ﺳﻳﺩ ﺁﺑﺎﺩ,ﺧﻳﻣﻪ ﺩﺭﺍﺧﺭ ﻗﺭﻳﻪ ﻫﻭﺳﯽ ﺧﻳﻝ,ﻫﻭﺳﯽ ﺧﻳﻝ,1,1,2
0405123,ﻭﺭﺩک,ﺳﻳﺩ ﺁﺑﺎﺩ,ﻣﺳﺟﺩ ﮐﻼﻥ ﻗﺭﻳﻪ ﺣﺳﻥ ﺑﻳﮏ,ﺣﺳﻥ ﺑﻳﮏ,1,1,2
0405129,ﻭﺭﺩک,ﺳﻳﺩ ﺁﺑﺎﺩ,ﺧﻳﻣﻪ,ﮐﻭﺭﺑﺕ ﺑﺎﻏﮏ,1,1,2
0405130,ﻭﺭﺩک,ﺳﻳﺩ ﺁﺑﺎﺩ,ﻣﺳﺟﺩ ﺯﻧﻪ ﺧﺎﻥ,ﺯﻧﻪ ﺧﺎﻥ,1,1,2
0405133,ﻭﺭﺩک,ﺳﻳﺩ ﺁﺑﺎﺩ,ﺧﻳﻣﻪ ﺩﺷﺕ ﻟړﻡ,ﻟړﻡ,1,1,2
0405134,ﻭﺭﺩک,ﺳﻳﺩ ﺁﺑﺎﺩ,ﺧﻳﻣﻪ,ﺑﻳﻧﯽ ﺳﻔﻳﺩ,1,1,2
0405135,ﻭﺭﺩک,ﺳﻳﺩ ﺁﺑﺎﺩ,ﻣﮑﺗﺏ ﺍﺑﺗﺩﺍﺋﻳﻪ ﺟﻭی ﺯﺭﻳﻥ,ﺟﻭی ﺯﺭﻳﻥ,1,1,2
0405136,ﻭﺭﺩک,ﺳﻳﺩ ﺁﺑﺎﺩ,ﺧﻳﻣﻪ  ﺩﺭ ﻗﻠﻌﻪ ﺍﻣﻳﺭ,ﻗﻠﻌﻪ ﺍﻣﻳﺭ,1,1,2
0405137,ﻭﺭﺩک,ﺳﻳﺩ ﺁﺑﺎﺩ,ﻟﻳﺳﻪ ﮐﺎﻣﺭﺍﻥ ﺧﻳﻝ,ﮐﺎﻣﺭﺍﻥ ﺧﻳﻝ,1,1,2
0405138,ﻭﺭﺩک,ﺳﻳﺩ ﺁﺑﺎﺩ,ﺧﻳﻣﻪ  ﺩﺭ ﻗﺭﻳﻪ ﺳﻧﺩﺍﻭﺭ,ﺳﻧﺩﺍﻭﺭ,2,1,3
0405139,ﻭﺭﺩک,ﺳﻳﺩ ﺁﺑﺎﺩ,ﻣﮑﺗﺏ ﺍﻣﺎﻡ ﻣﺣﻣﺩ,ﺩﻭﺁﺏ,2,1,3
0405140,ﻭﺭﺩک,ﺳﻳﺩ ﺁﺑﺎﺩ,ﺧﻳﻣﻪ ﮐﻭﻩ ﺷﻳﺦ ﺁﺑﺎﺩ,ﮐﻭﻩ ﺷﻳﺦ ﺁﺑﺎﺩ,2,2,4
0408072,ﻭﺭﺩک,ﺟﻐﺗﻭ,ﻋﻘﺏ ﻣﻧﺯﻝ ﺳﻳﺩ ﻓﺎﺭﻭﻕ,ﻗﺭﻳﻪ ﺳﺩﺩ ﺳﺭﺑﻧﺩ,1,1,2
0408073,ﻭﺭﺩک,ﺟﻐﺗﻭ,ﻣﮑﺗﺏ ﮐﻭﺩﺍﻥ,ﮐﻭﺷﺎﻥ,2,2,4
0408074,ﻭﺭﺩک,ﺟﻐﺗﻭ,ﻣﮑﺗﺏ ﺍﻣﺎﻡ ﺍﺑﻭ ﺣﻧﻳﻔﻪ,ﺑﺑﺭﺑﺎﺑﺎﺧﻳﻝ,2,1,3
0408075,ﻭﺭﺩک,ﺟﻐﺗﻭ,ﻣﺳﺟﺩ ﺳﻧﺯﻟﻪ,ﺳﻧﺯﻟﻪ,1,1,2
0408076,ﻭﺭﺩک,ﺟﻐﺗﻭ,ﮐﻠﻳﻧﻳﮏ ﮐﻼﻧﺩﻩ,ﮐﻼﻧﺩﻩ,2,1,3
0408077,ﻭﺭﺩک,ﺟﻐﺗﻭ,ﮐﻠﻳﻧﻳﮏ ﻻﻏﺭی,ﻻﻏﺭی,1,1,2
0408078,ﻭﺭﺩک,ﺟﻐﺗﻭ,ﻣﮑﺗﺏ ﻧﻅﺭ ﺧﺎﻥ ﺑﻧﺩ ﺳﻠﻁﺎﻥ,ﺑﻧﺩ ﺳﻠﻁﺎﻥ,1,1,2
0408079,ﻭﺭﺩک,ﺟﻐﺗﻭ,ﺩﻓﺗﺭ ﻣﻠﮏ ﻗﺭﻳﻪ,ﺑﻭﺷﺎ ﺧﻳﻝ,1,1,2
0408080,ﻭﺭﺩک,ﺟﻐﺗﻭ,ﻣﮑﺗﺏ ﻧﻭﺭ ﺧﻳﻝ,ﻧﻭﺭ ﺧﻳﻝ,1,1,2
0408081,ﻭﺭﺩک,ﺟﻐﺗﻭ,ﺧﻳﻣﻪ,ﻗﻠﻌﻪ ﺳﻠﻳﻣﺎﻥ,1,1,2
0408082,ﻭﺭﺩک,ﺟﻐﺗﻭ,ﺟﻭﺍﺭ ﺧﺎﻧﻪ ﺷﺧﺻﯽ ﺭﺣﻣﺕ ﷲ,ﻣﻭﻟﻪ,1,1,2
