 ﺕﻼﺣﻣ ﻉﻭﻣﺟﻣ ,ﻪﻧﺎﻧﺯ ﺕﻼﺣﻣ   ,  ﻪﻧﺍﺩﺭﻣ ﺕﻼﺣﻣ  ,ﯽﻫﺩﻳﺍﺭ ﺯﮐﺭﻣ ﺕﻌﻳﻗﻭﻣ,ﯽﻫﺩﻳﺍﺭ ﺯﮐﺭﻣ ﻡﺎﻧ,ﻲﻟﺍﻭﺳﻟﻭ,ﺕﻳﻻﻭ,  ﯽﻫﺩﻳﺍﺭ ﺯﮐﺭﻣ ﺩﻭﮐ 
2,1,1,ﻝﻳﺧ ﻑﻳﺭﺷ,    ﺩﺍﺯﺭﻳﺷ ﻪﻳﺋﺍﺩﺗﺑﺍ ﺏﺗﮑﻣ,کﺩﺭﻭ ﮏﭼ,کﺩﺭﻭ,0404098
2,1,1,ﮏﮐﺭﺯ ﻩﺩﻭﮔ ﻪﻳﺭﻗ,ﮏﮐﺭﺯ ﻪﻳﺭﻗ ﺩﺟﺳﻣ,کﺩﺭﻭ ﮏﭼ,کﺩﺭﻭ,0404099
3,1,2,ﺕﮐﺍﺭﮐ ﻪﻳﺭﻗ,ﻝﮔ ﻡﻠﻋ ﯽﺿﺎﻗ ﻝﺯﻧﻣ یﻭﻠﻬﭘ,کﺩﺭﻭ ﮏﭼ,کﺩﺭﻭ,0404100
2,1,1,ﻪﻧﺍﺭﻳﺑ,ﺏﺎﻳﺳ ﺏﺗﮑﻣ,کﺩﺭﻭ ﮏﭼ,کﺩﺭﻭ,0404101
2,1,1,ﺵﻭﭘﺭﺳ,  ﻕﻭﺭﺎﻓﺭﻣﻋ ﻪﻳﺋﺍﺩﺗﺑﺍ ﺏﺗﮑﻣ,کﺩﺭﻭ ﮏﭼ,کﺩﺭﻭ,0404102
2,1,1,ﮏﻟﻭﮐ ﻪﻳﺭﻗ,ﮏﻟﻭﮐ ﻪﻳﺭﻗ ﺩﺟﺳﻣ,کﺩﺭﻭ ﮏﭼ,کﺩﺭﻭ,0404103
2,1,1,ﻝﻳﺧ ﺭﺩﺎﻗ ﻪﻳﺭﻗ,ﻝﻳﺧﺭﺩﺎﻗ ﻪﻳﺭﻗ ﻥﻼﮐ ﺩﺟﺳﻣ,کﺩﺭﻭ ﮏﭼ,کﺩﺭﻭ,0404106
2,1,1,ﺎﻳﺳﺍ ﺕﻔﻫ,  ﺎﻳﺳﺍ ﺕﻔﻫ ﻪﻳﺭﻗ ﺭﺩ ﻪﻣﻳﺧ,ﺩﺎﺑﺁ ﺩﻳﺳ,کﺩﺭﻭ,0405117
2,1,1,ﻪﻌﻠﻗ ﺵﺷ,ﻪﻌﻠﻗ ﺵﺷ ﺏﺗﮑﻣ,ﺩﺎﺑﺁ ﺩﻳﺳ,کﺩﺭﻭ,0405118
2,1,1,ﻝﻳﺧﺭﺎﻧﻳﭼ‐ﻝﻳﺧ ﻑﻟﺍ,ﻝﻳﺧ ﻑﻟﺍ ﻪﻳﺭﻗ ﻝﺧﺍﺩﺭﺩ ﻪﻣﻳﺧ,ﺩﺎﺑﺁ ﺩﻳﺳ,کﺩﺭﻭ,0405120
